dataset,level,transition,pure_default_optimizer_boundary,opcode,total_before,total_after,total_delta,cases_changed
public_v1,O1,llvm_default_opt_boundary_3,True,xor,1472,1255,-217,12
public_v1,O1,llvm_default_opt_boundary_3,True,zext,2788,2347,-441,18
public_v1,O1,custom_storage_delift,False,add,2801,2801,0,0
public_v1,O1,custom_storage_delift,False,alloca,156,156,0,0
public_v1,O1,custom_storage_delift,False,and,1935,1935,0,0
public_v1,O1,custom_storage_delift,False,br,3137,3137,0,0
public_v1,O1,custom_storage_delift,False,call,2385,2385,0,0
public_v1,O1,custom_storage_delift,False,getelementptr,4334,4334,0,0
public_v1,O1,custom_storage_delift,False,icmp,1965,1965,0,0
public_v1,O1,custom_storage_delift,False,inttoptr,235,235,0,0
public_v1,O1,custom_storage_delift,False,load,6250,6250,0,0
public_v1,O1,custom_storage_delift,False,phi,1380,1380,0,0
public_v1,O1,custom_storage_delift,False,ptrtoint,223,223,0,0
public_v1,O1,custom_storage_delift,False,ret,209,209,0,0
public_v1,O1,custom_storage_delift,False,select,962,962,0,0
public_v1,O1,custom_storage_delift,False,sext,891,891,0,0
public_v1,O1,custom_storage_delift,False,shl,703,703,0,0
public_v1,O1,custom_storage_delift,False,store,9114,9114,0,0
public_v1,O1,custom_storage_delift,False,sub,353,353,0,0
public_v1,O1,custom_storage_delift,False,switch,88,88,0,0
public_v1,O1,custom_storage_delift,False,zext,2347,2347,0,0
public_v1,O1,custom_residual_strip,False,add,2801,2801,0,0
public_v1,O1,custom_residual_strip,False,alloca,156,156,0,0
public_v1,O1,custom_residual_strip,False,and,1935,1935,0,0
public_v1,O1,custom_residual_strip,False,br,3137,3137,0,0
public_v1,O1,custom_residual_strip,False,call,2385,2385,0,0
public_v1,O1,custom_residual_strip,False,getelementptr,4334,4334,0,0
public_v1,O1,custom_residual_strip,False,icmp,1965,1965,0,0
public_v1,O1,custom_residual_strip,False,inttoptr,235,235,0,0
public_v1,O1,custom_residual_strip,False,load,6250,6250,0,0
public_v1,O1,custom_residual_strip,False,phi,1380,1380,0,0
public_v1,O1,custom_residual_strip,False,ptrtoint,223,223,0,0
public_v1,O1,custom_residual_strip,False,ret,209,209,0,0
public_v1,O1,custom_residual_strip,False,select,962,962,0,0
public_v1,O1,custom_residual_strip,False,sext,891,891,0,0
public_v1,O1,custom_residual_strip,False,shl,703,703,0,0
public_v1,O1,custom_residual_strip,False,store,9114,9114,0,0
public_v1,O1,custom_residual_strip,False,sub,353,353,0,0
public_v1,O1,custom_residual_strip,False,switch,88,88,0,0
public_v1,O1,custom_residual_strip,False,zext,2347,2347,0,0
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,add,2801,2690,-111,16
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,alloca,156,160,4,2
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,and,1935,1838,-97,9
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,br,3137,3123,-14,15
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,call,2385,2368,-17,8
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,getelementptr,4334,3885,-449,25
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,icmp,1965,1938,-27,11
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,inttoptr,235,217,-18,5
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,load,6250,5998,-252,34
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,phi,1380,1632,252,31
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,ptrtoint,223,217,-6,5
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,ret,209,201,-8,6
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,select,962,853,-109,25
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,sext,891,919,28,8
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,shl,703,735,32,6
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,store,9114,7962,-1152,32
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,sub,353,306,-47,14
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,switch,88,89,1,1
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,zext,2347,2258,-89,8
public_v1,O1,custom_storage_delift,False,mul,769,769,0,0
public_v1,O1,custom_storage_delift,False,or,1309,1309,0,0
public_v1,O1,custom_storage_delift,False,trunc,739,739,0,0
public_v1,O1,custom_storage_delift,False,xor,1255,1255,0,0
public_v1,O1,custom_residual_strip,False,mul,769,769,0,0
public_v1,O1,custom_residual_strip,False,or,1309,1309,0,0
public_v1,O1,custom_residual_strip,False,trunc,739,739,0,0
public_v1,O1,custom_residual_strip,False,xor,1255,1255,0,0
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,mul,769,753,-16,7
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,or,1309,1216,-93,6
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,trunc,739,759,20,5
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,xor,1255,1230,-25,4
public_v1,O1,main_combined_custom_plus_opt_1_2,False,extractvalue,0,753,753,24
public_v1,O1,main_combined_custom_plus_opt_1_2,False,fcmp,97,26,-71,9
public_v1,O1,main_combined_custom_plus_opt_1_2,False,fptosi,9,1,-8,3
public_v1,O1,main_combined_custom_plus_opt_1_2,False,insertvalue,0,313,313,24
public_v1,O1,main_combined_custom_plus_opt_1_2,False,sitofp,25,9,-16,6
public_v1,O1,bundle_exact_pointer_passes,False,extractvalue,753,744,-9,1
public_v1,O1,bundle_exact_pointer_passes,False,fcmp,26,26,0,0
public_v1,O1,bundle_exact_pointer_passes,False,fptosi,1,1,0,0
public_v1,O1,bundle_exact_pointer_passes,False,insertvalue,313,313,0,0
public_v1,O1,bundle_exact_pointer_passes,False,lshr,165,165,0,0
public_v1,O1,bundle_exact_pointer_passes,False,sitofp,9,9,0,0
public_v1,O1,llvm_default_opt_boundary_3,True,extractvalue,744,626,-118,13
public_v1,O1,llvm_default_opt_boundary_3,True,fcmp,26,26,0,0
public_v1,O1,llvm_default_opt_boundary_3,True,fptosi,1,1,0,0
public_v1,O1,llvm_default_opt_boundary_3,True,insertvalue,313,231,-82,21
public_v1,O1,llvm_default_opt_boundary_3,True,lshr,165,166,1,1
public_v1,O1,llvm_default_opt_boundary_3,True,sitofp,9,9,0,0
public_v1,O1,custom_storage_delift,False,fcmp,26,26,0,0
public_v1,O1,custom_storage_delift,False,fptosi,1,1,0,0
public_v1,O1,custom_storage_delift,False,lshr,166,166,0,0
public_v1,O1,custom_storage_delift,False,sitofp,9,9,0,0
public_v1,O1,custom_residual_strip,False,fcmp,26,26,0,0
public_v1,O1,custom_residual_strip,False,fptosi,1,1,0,0
public_v1,O1,custom_residual_strip,False,lshr,166,166,0,0
public_v1,O1,custom_residual_strip,False,sitofp,9,9,0,0
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,fcmp,26,26,0,0
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,fptosi,1,1,0,0
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,lshr,166,179,13,2
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,sitofp,9,9,0,0
public_v1,O1,main_combined_custom_plus_opt_1_2,False,bitcast,485,42,-443,27
public_v1,O1,main_combined_custom_plus_opt_1_2,False,fadd,45,21,-24,7
public_v1,O1,main_combined_custom_plus_opt_1_2,False,fdiv,17,11,-6,3
public_v1,O1,main_combined_custom_plus_opt_1_2,False,fmul,13,14,1,4
public_v1,O1,main_combined_custom_plus_opt_1_2,False,fsub,32,33,1,3
public_v1,O1,bundle_exact_pointer_passes,False,bitcast,42,42,0,0
public_v1,O1,bundle_exact_pointer_passes,False,fadd,21,21,0,0
public_v1,O1,bundle_exact_pointer_passes,False,fdiv,11,11,0,0
public_v1,O1,bundle_exact_pointer_passes,False,fmul,14,14,0,0
public_v1,O1,bundle_exact_pointer_passes,False,fsub,33,33,0,0
public_v1,O1,bundle_exact_pointer_passes,False,unreachable,79,79,0,0
public_v1,O1,llvm_default_opt_boundary_3,True,bitcast,42,42,0,0
public_v1,O1,llvm_default_opt_boundary_3,True,fadd,21,21,0,0
public_v1,O1,llvm_default_opt_boundary_3,True,fdiv,11,11,0,0
public_v1,O1,llvm_default_opt_boundary_3,True,fmul,14,14,0,0
public_v1,O1,llvm_default_opt_boundary_3,True,fsub,33,33,0,0
public_v1,O1,llvm_default_opt_boundary_3,True,unreachable,79,78,-1,1
public_v1,O1,custom_storage_delift,False,bitcast,42,42,0,0
public_v1,O1,custom_storage_delift,False,extractvalue,626,626,0,0
public_v1,O1,custom_storage_delift,False,fadd,21,21,0,0
public_v1,O1,custom_storage_delift,False,fdiv,11,11,0,0
public_v1,O1,custom_storage_delift,False,fmul,14,14,0,0
public_v1,O1,custom_storage_delift,False,fsub,33,33,0,0
public_v1,O1,custom_storage_delift,False,insertvalue,231,231,0,0
public_v1,O1,custom_storage_delift,False,unreachable,78,78,0,0
public_v1,O1,custom_residual_strip,False,bitcast,42,42,0,0
public_v1,O1,custom_residual_strip,False,extractvalue,626,626,0,0
public_v1,O1,custom_residual_strip,False,fadd,21,21,0,0
public_v1,O1,custom_residual_strip,False,fdiv,11,11,0,0
public_v1,O1,custom_residual_strip,False,fmul,14,14,0,0
public_v1,O1,custom_residual_strip,False,fsub,33,33,0,0
public_v1,O1,custom_residual_strip,False,insertvalue,231,231,0,0
public_v1,O1,custom_residual_strip,False,unreachable,78,78,0,0
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,bitcast,42,47,5,2
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,extractvalue,626,601,-25,3
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,fadd,21,21,0,0
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,fdiv,11,11,0,0
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,fmul,14,14,0,0
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,fsub,33,33,0,0
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,insertvalue,231,221,-10,3
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,unreachable,78,80,2,1
public_v1,O1,bundle_exact_pointer_passes,False,ashr,96,93,-3,2
public_v1,O1,llvm_default_opt_boundary_3,True,ashr,93,90,-3,4
public_v1,O1,custom_storage_delift,False,ashr,90,90,0,0
public_v1,O1,custom_residual_strip,False,ashr,90,90,0,0
public_v1,O1,final_tail_opt_4_plus_custom_cleanup,False,ashr,90,90,0,2
public_v1,O1,main_combined_custom_plus_opt_1_2,False,sdiv,261,49,-212,17
public_v1,O1,main_combined_custom_plus_opt_1_2,False,srem,92,22,-70,13
public_v1,O1,main_combined_custom_plus_opt_1_2,False,udiv,23,9,-14,6
public_v1,O1,bundle_exact_pointer_passes,False,sdiv,49,49,0,0
public_v1,O1,bundle_exact_pointer_passes,False,srem,22,22,0,0
public_v1,O1,bundle_exact_pointer_passes,False,udiv,9,9,0,0
public_v1,O1,llvm_default_opt_boundary_3,True,sdiv,49,49,0,2
public_v1,O1,llvm_default_opt_boundary_3,True,srem,22,23,1,1
