dataset,level,sample_id,transition,pure_default_optimizer_boundary,opcode,before,after,delta
public_v1,O1,p00001,custom_storage_delift,False,phi,4,4,0
public_v1,O1,p00001,custom_storage_delift,False,ptrtoint,4,4,0
public_v1,O1,p00001,custom_storage_delift,False,ret,4,4,0
public_v1,O1,p00001,custom_storage_delift,False,select,5,5,0
public_v1,O1,p00001,custom_storage_delift,False,sext,2,2,0
public_v1,O1,p00001,custom_storage_delift,False,shl,2,2,0
public_v1,O1,p00001,custom_storage_delift,False,store,107,107,0
public_v1,O1,p00001,custom_storage_delift,False,sub,1,1,0
public_v1,O1,p00001,custom_storage_delift,False,switch,1,1,0
public_v1,O1,p00001,custom_storage_delift,False,zext,2,2,0
public_v1,O1,p00001,custom_residual_strip,False,add,7,7,0
public_v1,O1,p00001,custom_residual_strip,False,alloca,1,1,0
public_v1,O1,p00001,custom_residual_strip,False,and,1,1,0
public_v1,O1,p00001,custom_residual_strip,False,br,18,18,0
public_v1,O1,p00001,custom_residual_strip,False,call,15,15,0
public_v1,O1,p00001,custom_residual_strip,False,getelementptr,38,38,0
public_v1,O1,p00001,custom_residual_strip,False,icmp,7,7,0
public_v1,O1,p00001,custom_residual_strip,False,inttoptr,1,1,0
public_v1,O1,p00001,custom_residual_strip,False,load,12,12,0
public_v1,O1,p00001,custom_residual_strip,False,phi,4,4,0
public_v1,O1,p00001,custom_residual_strip,False,ptrtoint,4,4,0
public_v1,O1,p00001,custom_residual_strip,False,ret,4,4,0
public_v1,O1,p00001,custom_residual_strip,False,select,5,5,0
public_v1,O1,p00001,custom_residual_strip,False,sext,2,2,0
public_v1,O1,p00001,custom_residual_strip,False,shl,2,2,0
public_v1,O1,p00001,custom_residual_strip,False,store,107,107,0
public_v1,O1,p00001,custom_residual_strip,False,sub,1,1,0
public_v1,O1,p00001,custom_residual_strip,False,switch,1,1,0
public_v1,O1,p00001,custom_residual_strip,False,zext,2,2,0
public_v1,O1,p00001,final_tail_opt_4_plus_custom_cleanup,False,add,7,4,-3
public_v1,O1,p00001,final_tail_opt_4_plus_custom_cleanup,False,alloca,1,1,0
public_v1,O1,p00001,final_tail_opt_4_plus_custom_cleanup,False,and,1,1,0
public_v1,O1,p00001,final_tail_opt_4_plus_custom_cleanup,False,br,18,18,0
public_v1,O1,p00001,final_tail_opt_4_plus_custom_cleanup,False,call,15,13,-2
public_v1,O1,p00001,final_tail_opt_4_plus_custom_cleanup,False,getelementptr,38,37,-1
public_v1,O1,p00001,final_tail_opt_4_plus_custom_cleanup,False,icmp,7,5,-2
public_v1,O1,p00001,final_tail_opt_4_plus_custom_cleanup,False,inttoptr,1,0,-1
public_v1,O1,p00001,final_tail_opt_4_plus_custom_cleanup,False,load,12,8,-4
public_v1,O1,p00001,final_tail_opt_4_plus_custom_cleanup,False,phi,4,7,3
public_v1,O1,p00001,final_tail_opt_4_plus_custom_cleanup,False,ptrtoint,4,4,0
