dataset,level,sample_id,stage,functions,blocks,instructions,conditional_branches,calls,direct_calls,indirect_calls,intrinsics,allocas,loads,stores,geps,phis,selects,switches,unreachable,memory_ops,scalar_cleanup_ops,vector_instructions,structural_sha256
public_v1,O1,p00165,bundle_residual_strip,3,27,268,14,18,18,0,10,5,37,59,45,10,2,0,0,146,44,0,0ae08b75470cbf8da992216232e72869504f53326adcd248f53ce874055d0424
public_v1,O1,p00165,final_clean,3,27,265,14,18,18,0,10,5,25,58,45,20,2,0,0,133,54,0,a1555cd8d0f7248598fde0a0084cbf39aa9032f38149c1e1f0575bd45a8bb48e
public_v1,O1,p00327,raw_lift,24,186,3741,79,35,30,5,8,0,186,420,18,3,42,0,3,624,1600,0,7c7094415b505476a616faeedb65d5f3b62fcfdd2f8242f66297f91b955dde3b
public_v1,O1,p00327,brightened_main,4,30,569,19,21,21,0,4,3,50,148,57,11,25,0,0,258,135,0,ffa08044cfb490287377ce5262605ebe05cf4929bb042780c472d1cd5d357a0c
public_v1,O1,p00327,bundle_verified_input,4,30,569,19,21,21,0,4,3,50,148,57,11,25,0,0,258,135,0,e4c1dfd633578bf08d743bb583b51092c39c9268b8c33a53511bdd040d48940c
public_v1,O1,p00327,bundle_pointer_opt,4,30,567,19,21,21,0,4,3,50,148,57,9,25,0,0,258,133,0,1fd39f623890b4821208ac79c1ad0fcbeba0fed7dc27308816c5a2037c4d7931
public_v1,O1,p00327,bundle_standard_opt_3,4,32,566,19,21,21,0,4,3,50,153,56,8,25,0,0,262,128,0,4636afe94cc18e863975d907d04bd803ad6b9a9f9f317105e41aad4882044c1b
public_v1,O1,p00327,bundle_storage_delift,4,32,566,19,21,21,0,4,3,50,153,56,8,25,0,0,262,128,0,4636afe94cc18e863975d907d04bd803ad6b9a9f9f317105e41aad4882044c1b
public_v1,O1,p00327,bundle_residual_strip,4,32,566,19,21,21,0,4,3,50,153,56,8,25,0,0,262,128,0,4636afe94cc18e863975d907d04bd803ad6b9a9f9f317105e41aad4882044c1b
public_v1,O1,p00327,final_clean,4,33,477,19,21,21,0,4,3,44,71,56,18,17,0,0,174,130,0,d58b5d39a80e545e078eaf278555df5a0f231ded65199daf6cea51f4ebedf26a
public_v1,O1,p00678,raw_lift,28,167,3083,78,60,55,5,18,0,200,552,15,15,30,0,6,767,1132,0,84bc8bf38ee2105603d036da87f960cde9ee388187b0c48d7cec09daa6c7b27d
public_v1,O1,p00678,brightened_main,5,78,1169,18,29,29,0,12,7,100,141,125,77,20,4,3,373,293,0,9b9609f7c10bdeaf700c0cc6eab4589218801a81ff19719c2e87833559d44000
public_v1,O1,p00678,bundle_verified_input,5,78,1169,18,29,29,0,12,7,100,141,125,77,20,4,3,373,293,0,6fabb3d45620b385a897b677f6c9fefdbf08be9c680c7c4a9edc5397ecbaaa90
public_v1,O1,p00678,bundle_pointer_opt,5,78,1169,18,29,29,0,12,7,100,141,125,77,20,4,3,373,293,0,6fabb3d45620b385a897b677f6c9fefdbf08be9c680c7c4a9edc5397ecbaaa90
public_v1,O1,p00678,bundle_standard_opt_3,5,78,1169,18,29,29,0,12,7,100,141,125,77,20,4,3,373,293,0,6fabb3d45620b385a897b677f6c9fefdbf08be9c680c7c4a9edc5397ecbaaa90
public_v1,O1,p00678,bundle_storage_delift,5,78,1169,18,29,29,0,12,7,100,141,125,77,20,4,3,373,293,0,6fabb3d45620b385a897b677f6c9fefdbf08be9c680c7c4a9edc5397ecbaaa90
public_v1,O1,p00678,bundle_residual_strip,5,78,1169,18,29,29,0,12,7,100,141,125,77,20,4,3,373,293,0,6fabb3d45620b385a897b677f6c9fefdbf08be9c680c7c4a9edc5397ecbaaa90
public_v1,O1,p00678,final_clean,5,78,1173,18,29,29,0,12,7,91,141,125,88,20,4,3,364,306,0,c859d5fd620366c9d0c37f4a1988553fe8c5d6825833a15858f277e37acf564e
public_v1,O1,p00693,raw_lift,25,217,3887,93,48,43,5,15,0,202,574,16,3,47,0,3,792,1592,0,3a179320ebcdd1bf6653c1ca9cead83697b6bd1c5ff5cd4c31d5ecac87140adc
public_v1,O1,p00693,brightened_main,5,41,676,19,32,32,0,10,5,52,194,109,9,49,0,0,360,154,0,89336755f06561c637accd5d5699fa803160fabec06f458f96897f91600d3e55
public_v1,O1,p00693,bundle_verified_input,5,41,676,19,32,32,0,10,5,52,194,109,9,49,0,0,360,154,0,fd85ce447433d359b320ec670257585cf0d41aa3791052712efd32dbbfa02cdd
public_v1,O1,p00693,bundle_pointer_opt,5,40,670,19,32,32,0,10,5,51,194,107,9,49,0,0,357,153,0,58f1cf76a19cd51b06c4925eaacec3d87cb36828c52b16ea98157fcc0609dd11
public_v1,O1,p00693,bundle_standard_opt_3,5,39,653,20,32,32,0,10,5,52,198,105,4,50,0,0,360,146,0,4950413e462f8e57f62b63cabd6c6e27f42bd36bfcd53c20fb26eb6dae80c070
public_v1,O1,p00693,bundle_storage_delift,5,39,653,20,32,32,0,10,5,52,198,105,4,50,0,0,360,146,0,4950413e462f8e57f62b63cabd6c6e27f42bd36bfcd53c20fb26eb6dae80c070
public_v1,O1,p00693,bundle_residual_strip,5,39,653,20,32,32,0,10,5,52,198,105,4,50,0,0,360,146,0,4950413e462f8e57f62b63cabd6c6e27f42bd36bfcd53c20fb26eb6dae80c070
public_v1,O1,p00693,final_clean,5,40,562,20,30,30,0,10,5,47,110,107,13,42,0,0,269,147,0,979b01f5781b19041300d933420db0df88eed0a439d5bc75a58d2df5d28cddec
public_v1,O1,p00788,raw_lift,26,153,2815,70,54,49,5,11,0,188,472,9,3,28,0,17,669,1052,0,508c0bbf7072bc9111c0f669f7d587353857794195753e695d8218c8bd85cc28
public_v1,O1,p00788,brightened_main,3,46,427,14,13,13,0,0,3,51,96,53,6,13,1,9,203,89,0,a445b801e6e854dc3d71cd9dd1c8701f585b5c47c3451f0d8feeb457c7dcdc10
public_v1,O1,p00788,bundle_verified_input,3,46,427,14,13,13,0,0,3,51,96,53,6,13,1,9,203,89,0,49db9f09b58b143bd242411f47614593c600505ae85e61dba2b7b3dbc185fa15
public_v1,O1,p00788,bundle_pointer_opt,3,45,423,14,13,13,0,0,3,51,96,54,6,13,1,9,204,88,0,b9fdb8783e2094645fb8f0353f1fdb141099d1e4fdd700219f56538be8cffc8a
public_v1,O1,p00788,bundle_standard_opt_3,2,46,428,15,11,11,0,0,3,51,120,60,5,14,1,9,234,75,0,9cab83ab6dbda0ad68005a948f4318cdb8f40cf06bfac2b17d71914e5a24f5c4
public_v1,O1,p00788,bundle_storage_delift,2,46,428,15,11,11,0,0,3,51,120,60,5,14,1,9,234,75,0,9cab83ab6dbda0ad68005a948f4318cdb8f40cf06bfac2b17d71914e5a24f5c4
public_v1,O1,p00788,bundle_residual_strip,2,46,428,15,11,11,0,0,3,51,120,60,5,14,1,9,234,75,0,9cab83ab6dbda0ad68005a948f4318cdb8f40cf06bfac2b17d71914e5a24f5c4
