schema_version,experiment_id,run_id,sample_id,flow_id,artifact_flow_id,repeat_id,benchmark_name,record_type,attempt_index,generation_iteration,candidate_index,attempt_variant,model,model_version,temperature,top_p,max_tokens,input_tokens,output_tokens,total_tokens,estimated_cost,latency_seconds,prompt_path,response_path,candidate_source_path,candidate_source_hash,finish_reason,metadata_path,provenance,compile_command,compiler_version,compile_exit_code,compile_success,link_success,executable_created,executable_path,executable_hash,compile_time,diagnostics_path,failure_category,is_compile_repair_attempt
2.0,experiment_20260821_155030,3a990f4eac94583e488d,h00001,F2,F2,0,h00001,llm_attempt,4,4,4,primary,ag/gemini-3-flash-agent,gemini-default,0.05,0.9,65535,130785,423,131208,,25.08970355987549,/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/recovery_iter4.prompt.txt,/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/recovery_iter4.response.txt,/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/recovered_iter4.c,3cefc165f4a232e1f66bbd89d66b267fbfeda1dfd9ae01639da0a939f2405d1a,STOP,/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/recovery_iter4.meta.json,recorded_metadata,,,,,,,,,,,,
2.0,experiment_20260821_155030,3a990f4eac94583e488d,h00001,F2,F2,0,h00001,llm_attempt,5,5,5,primary,ag/gemini-3-flash-agent,gemini-default,0.05,0.9,65535,144342,407,144749,,40.93281006813049,/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/recovery_iter5.prompt.txt,/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/recovery_iter5.response.txt,/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/recovered_iter5.c,b01438b07ff1f4ec30638c2e0a289d9b1e9c5d04305d2a4f37edb950faa4de84,STOP,/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/recovery_iter5.meta.json,recorded_metadata,,,,,,,,,,,,
2.0,experiment_20260821_155030,ce8fdc3b230089baad74,h00001,F3,F3,0,h00001,llm_attempt,1,1,1,primary,ag/gemini-3-flash-agent,gemini-default,0.05,0.9,65535,57092,712,57804,,78.12905478477478,/home/dungbv/clau/result/eval_20260821_155030/h00001/F3/recovery_iter1.prompt.txt,/home/dungbv/clau/result/eval_20260821_155030/h00001/F3/recovery_iter1.response.txt,/home/dungbv/clau/result/eval_20260821_155030/h00001/F3/recovered_iter1.c,4055c594d1fac99247476aa30ba66ff3736d912c7095a76edea7c7fc24bf284c,STOP,/home/dungbv/clau/result/eval_20260821_155030/h00001/F3/recovery_iter1.meta.json,recorded_metadata,,,,,,,,,,,,
2.0,experiment_20260821_155030,4b75e54813f52ae8dd35,h00001,B2,B2,0,h00001,compile_attempt,1,1,1,,,,,,,,,,,,,,/home/dungbv/clau/result/eval_20260821_155030/h00001/B2/recovered_iter1.c,9727134fecab5385f4fce97d8f8ef90285eb47a84203cc1873d253f4ea2709c5,,,candidate_and_diagnostics_artifacts,"[""/usr/bin/clang-21"", ""-O2"", ""/home/dungbv/clau/result/eval_20260821_155030/h00001/B2/recovered_iter1.c"", ""-o"", ""/home/dungbv/clau/result/eval_20260821_155030/h00001/B2/temp_compile.bin"", ""-lm""]",Ubuntu clang version 21.1.8 (++20251221032922+2078da43e25a-1~exp1~20251221153059.70),0,True,True,True,/home/dungbv/clau/result/eval_20260821_155030/h00001/B2/temp_compile.bin,4f5bfad37b27076a5e3fa03b949c40c2bfc4f278769a3fc73f96be4dfe5eb823,0.0595242977142334,,,False
2.0,experiment_20260821_155030,625c33b7524e64da7308,h00001,F1,F1,0,h00001,compile_attempt,1,1,1,,,,,,,,,,,,,,/home/dungbv/clau/result/eval_20260821_155030/h00001/F1/recovered_iter1.c,2596318cd6c0935cbb40ccf69e76931b0ea5f9aca5b8cc074aafa18d568f1577,,,candidate_and_diagnostics_artifacts,"[""/usr/bin/clang-21"", ""-O2"", ""/home/dungbv/clau/result/eval_20260821_155030/h00001/F1/recovered_iter1.c"", ""-o"", ""/home/dungbv/clau/result/eval_20260821_155030/h00001/F1/temp_compile.bin"", ""-lm""]",Ubuntu clang version 21.1.8 (++20251221032922+2078da43e25a-1~exp1~20251221153059.70),0,True,True,True,/home/dungbv/clau/result/eval_20260821_155030/h00001/F1/temp_compile.bin,,0.053180694580078125,,,False
2.0,experiment_20260821_155030,625c33b7524e64da7308,h00001,F1,F1,0,h00001,compile_attempt,2,2,2,,,,,,,,,,,,,,/home/dungbv/clau/result/eval_20260821_155030/h00001/F1/recovered_iter2.c,47872a70ffc781fe611be950c2d46f074cb21a7dbf7e0c4d506612ed043c594d,,,candidate_and_diagnostics_artifacts,"[""/usr/bin/clang-21"", ""-O2"", ""/home/dungbv/clau/result/eval_20260821_155030/h00001/F1/recovered_iter2.c"", ""-o"", ""/home/dungbv/clau/result/eval_20260821_155030/h00001/F1/temp_compile.bin"", ""-lm""]",Ubuntu clang version 21.1.8 (++20251221032922+2078da43e25a-1~exp1~20251221153059.70),0,True,True,True,/home/dungbv/clau/result/eval_20260821_155030/h00001/F1/temp_compile.bin,d5d23b45ff3dcd3b43f16cf61c32af92420242591eca6e31e0df28c870350c2c,0.05230855941772461,,,True
2.0,experiment_20260821_155030,3a990f4eac94583e488d,h00001,F2,F2,0,h00001,compile_attempt,1,1,1,,,,,,,,,,,,,,/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/recovered_iter1.c,e45ea23e978688aa29236d8410f66482e99e5b0eef4c7f98599d15b69d5d6b44,,,candidate_and_diagnostics_artifacts,"[""/usr/bin/clang-21"", ""-O2"", ""/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/recovered_iter1.c"", ""-o"", ""/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/temp_compile.bin"", ""-lm""]",Ubuntu clang version 21.1.8 (++20251221032922+2078da43e25a-1~exp1~20251221153059.70),0,True,True,True,/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/temp_compile.bin,,0.0532076358795166,,,False
2.0,experiment_20260821_155030,3a990f4eac94583e488d,h00001,F2,F2,0,h00001,compile_attempt,2,2,2,,,,,,,,,,,,,,/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/recovered_iter2.c,48b9c786b39a11d05b5d78d1613f3e15b98584a1a318f193af632a4f57734c46,,,candidate_and_diagnostics_artifacts,"[""/usr/bin/clang-21"", ""-O2"", ""/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/recovered_iter2.c"", ""-o"", ""/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/temp_compile.bin"", ""-lm""]",Ubuntu clang version 21.1.8 (++20251221032922+2078da43e25a-1~exp1~20251221153059.70),0,True,True,True,/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/temp_compile.bin,,0.05268383026123047,,,True
2.0,experiment_20260821_155030,3a990f4eac94583e488d,h00001,F2,F2,0,h00001,compile_attempt,3,3,3,,,,,,,,,,,,,,/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/recovered_iter3.c,48c1428370051fbb17a354970b5c62645fd5448ad1154188138f177e0751768b,,,candidate_and_diagnostics_artifacts,"[""/usr/bin/clang-21"", ""-O2"", ""/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/recovered_iter3.c"", ""-o"", ""/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/temp_compile.bin"", ""-lm""]",Ubuntu clang version 21.1.8 (++20251221032922+2078da43e25a-1~exp1~20251221153059.70),0,True,True,True,/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/temp_compile.bin,,0.058245182037353516,,,True
2.0,experiment_20260821_155030,3a990f4eac94583e488d,h00001,F2,F2,0,h00001,compile_attempt,4,4,4,,,,,,,,,,,,,,/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/recovered_iter4.c,3cefc165f4a232e1f66bbd89d66b267fbfeda1dfd9ae01639da0a939f2405d1a,,,candidate_and_diagnostics_artifacts,"[""/usr/bin/clang-21"", ""-O2"", ""/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/recovered_iter4.c"", ""-o"", ""/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/temp_compile.bin"", ""-lm""]",Ubuntu clang version 21.1.8 (++20251221032922+2078da43e25a-1~exp1~20251221153059.70),0,True,True,True,/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/temp_compile.bin,,0.05392861366271973,,,True
2.0,experiment_20260821_155030,3a990f4eac94583e488d,h00001,F2,F2,0,h00001,compile_attempt,5,5,5,,,,,,,,,,,,,,/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/recovered_iter5.c,b01438b07ff1f4ec30638c2e0a289d9b1e9c5d04305d2a4f37edb950faa4de84,,,candidate_and_diagnostics_artifacts,"[""/usr/bin/clang-21"", ""-O2"", ""/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/recovered_iter5.c"", ""-o"", ""/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/temp_compile.bin"", ""-lm""]",Ubuntu clang version 21.1.8 (++20251221032922+2078da43e25a-1~exp1~20251221153059.70),0,True,True,True,/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/temp_compile.bin,022de4ad0304cb597e6e4d6a9ba80c3f4a43a4bb66635008921d0276a8819868,0.05580878257751465,,,True
2.0,experiment_20260821_155030,ce8fdc3b230089baad74,h00001,F3,F3,0,h00001,compile_attempt,1,1,1,,,,,,,,,,,,,,/home/dungbv/clau/result/eval_20260821_155030/h00001/F3/recovered_iter1.c,4055c594d1fac99247476aa30ba66ff3736d912c7095a76edea7c7fc24bf284c,,,candidate_and_diagnostics_artifacts,"[""/usr/bin/clang-21"", ""-O2"", ""/home/dungbv/clau/result/eval_20260821_155030/h00001/F3/recovered_iter1.c"", ""-o"", ""/home/dungbv/clau/result/eval_20260821_155030/h00001/F3/temp_compile.bin"", ""-lm""]",Ubuntu clang version 21.1.8 (++20251221032922+2078da43e25a-1~exp1~20251221153059.70),0,True,True,True,/home/dungbv/clau/result/eval_20260821_155030/h00001/F3/temp_compile.bin,c048cf5dc93288d67bfc7fa07d5c39bb7ab50e5633b4f64b89ec6754241ffbbb,0.061079978942871094,,,False
