schema_version,experiment_id,run_id,sample_id,flow_id,artifact_flow_id,repeat_id,benchmark_name,flow_name,flow_layout_version,source_flow_layout_version,source_flow_name,error_context_enabled,iterative,started_at,completed_at,configuration_hash,request_hash,fairness_configuration,git_commit,tool_versions,original_obfuscated_binary_path,reference_executable_path,reference_executable_kind,strict_mandated_oracle_compatible,historical_status,status,inconclusive_reason,llm_calls,input_tokens,output_tokens,total_tokens,estimated_api_cost,llm_latency,preprocessing_time,compile_time,fuzzing_time,total_runtime,time_to_first_candidate,time_to_first_compilable_candidate,time_to_first_behavioral_pass_candidate,compiler_attempts,compile_success_first,any_compile_success_within_budget,last_candidate_compile_success,compile_repair_case,compile_repair_rounds,compile_repair_success,compile_candidate_before_repair,compile_candidate_after_repair,compiler_feedback_path,compiler_repair_applied,behavioral_repair_case,behavioral_repair_rounds,behavioral_repair_success,behavioral_candidate_before_repair,behavioral_candidate_after_repair,behavioral_repair_applied,counterexamples_used,counterexample_ids_used,regression_corpus_size,first_behavioral_pass,final_behavioral_pass,counterexample_ever_found,reproducible_counterexample_ever_found,final_counterexample_found,reproducible_final_counterexample,fuzzing_completed,behavioral_validation_completed,fuzz_generated,fuzz_executed_on_both,fuzz_valid,fuzz_invalid,fuzz_matches,fuzz_mismatches,fuzz_execution_errors,input_match_rate,binary_lifting_completed,raw_ir_generated,llvm_deobfuscation_completed,llvm_ir_verification_completed,pseudocode_generated,llm_generation_completed,compilation_completed,candidate_accepted,re_executability_success,canonical_e2e_success,flow_specific_recovery_success,peak_memory,cpu_time,raw_ir_path,clean_ir_path,brightened_intermediate_path,llvm_verify_attempted,llvm_verify_success,llvm_verify_error,raw_instruction_count,clean_instruction_count,instruction_reduction_percent,raw_basic_block_count,clean_basic_block_count,basic_block_reduction_percent,raw_conditional_branch_count,clean_conditional_branch_count,conditional_branch_reduction_percent,readability_variables,readability_loops,readability_conditions,readability_logic_flow,readability_structure,readability_overall,readability_variables_rationale,readability_loops_rationale,readability_conditions_rationale,readability_logic_flow_rationale,readability_structure_rationale,readability_summary,readability_rubric_version,readability_source_sha256,readability_evaluated_at,readability_correctness_assessed,evaluator_id,evaluation_method,original_sloc,recovered_sloc,sloc_ratio,provenance_warnings
2.0,experiment_20260821_155030,abda632ff9a11b3faf79,h00001,B1,B1,0,h00001,GHIDRA_PSEUDOCODE_ONESHOT,five-flow-b1-b2-f1-f2-f3-v3,five-flow-b1-b2-f1-f2-f3-v3,GHIDRA_PSEUDOCODE_ONESHOT,False,False,2026-08-21T08:50:35.699008+00:00,2026-08-21T08:51:20.241416+00:00,867fa5d17c360517f59dca51501d9976029be163bd94ed0cb2674660cda16d56,,"{""behavioral_repair_budget"": 0, ""compile_repair_budget"": 0, ""cpu_limit"": null, ""error_context_enabled"": false, ""flow_layout_version"": ""five-flow-b1-b2-f1-f2-f3-v3"", ""flow_name"": ""GHIDRA_PSEUDOCODE_ONESHOT"", ""fuzzing_budget_inputs"": 1000, ""fuzzing_budget_seconds"": null, ""fuzzing_seed"": null, ""max_iterations"": 1, ""max_tokens"": 65535, ""memory_limit"": null, ""model"": ""ag/gemini-3-flash-agent"", ""model_version"": [""gemini-default""], ""runtime_timeout_seconds"": null, ""source_flow_layout_version"": ""five-flow-b1-b2-f1-f2-f3-v3"", ""source_flow_name"": ""GHIDRA_PSEUDOCODE_ONESHOT"", ""temperature"": null, ""top_p"": null}",1c43bfe9d5d7f6c59503ca46cc29848a000851d7,"{""clang"": ""Ubuntu clang version 21.1.8 (++20251221032922+2078da43e25a-1~exp1~20251221153059.70)"", ""fuzzer"": ""historical AFL++ metadata; binary version unrecorded"", ""llvm_opt"": ""Ubuntu LLVM version 21.1.8"", ""python"": ""Python 3.12.3""}",,/home/dungbv/clau/data/own_dataset/obfuscated/h00001/n26081501_fla_bcf_instsub.elf,OBFUSCATED_BINARY,True,FAIL_COMPILE,FAIL_GENERATION,,1,13151,3670,16821,,43.1273558139801,,0.0,0.0,43.135066509246826,,,,0,,,,False,0,,,,,False,False,0,,,,False,0,[],,,,False,False,False,False,False,False,,,,,,,,,True,True,True,True,False,True,False,False,False,False,False,,,/home/dungbv/clau/result/eval_20260821_155030/h00001/h00001.ll,/home/dungbv/clau/result/eval_20260821_155030/h00001/h00001_final.ll,/home/dungbv/clau/result/eval_20260821_155030/h00001/h00001_brightened.ll,True,True,,1201,434,63.86344712739383,91,34,62.637362637362635,41,2,95.1219512195122,,,,,,,,,,,,,,,,,,,,,,"[""Per-attempt LLM latency and API cost were not persisted."", ""clang-format or source prerequisite unavailable; SLOC metrics are null.""]"
2.0,experiment_20260821_155030,4b75e54813f52ae8dd35,h00001,B2,B2,0,h00001,OBJDUMP_ASSEMBLY_ONESHOT,five-flow-b1-b2-f1-f2-f3-v3,five-flow-b1-b2-f1-f2-f3-v3,OBJDUMP_ASSEMBLY_ONESHOT,False,False,2026-08-21T08:50:36.475864+00:00,2026-08-21T08:51:22.605178+00:00,f17f465ec879589a4379894fa4d225b600ff7e8bdb74c4f1132b1347986ccb12,,"{""behavioral_repair_budget"": 0, ""compile_repair_budget"": 0, ""cpu_limit"": null, ""error_context_enabled"": false, ""flow_layout_version"": ""five-flow-b1-b2-f1-f2-f3-v3"", ""flow_name"": ""OBJDUMP_ASSEMBLY_ONESHOT"", ""fuzzing_budget_inputs"": 1000, ""fuzzing_budget_seconds"": 1.0, ""fuzzing_seed"": null, ""max_iterations"": 1, ""max_tokens"": 65535, ""memory_limit"": null, ""model"": ""ag/gemini-3-flash-agent"", ""model_version"": [""gemini-default""], ""runtime_timeout_seconds"": 0.1, ""source_flow_layout_version"": ""five-flow-b1-b2-f1-f2-f3-v3"", ""source_flow_name"": ""OBJDUMP_ASSEMBLY_ONESHOT"", ""temperature"": null, ""top_p"": null}",1c43bfe9d5d7f6c59503ca46cc29848a000851d7,"{""clang"": ""Ubuntu clang version 21.1.8 (++20251221032922+2078da43e25a-1~exp1~20251221153059.70)"", ""fuzzer"": ""historical AFL++ metadata; binary version unrecorded"", ""llvm_opt"": ""Ubuntu LLVM version 21.1.8"", ""python"": ""Python 3.12.3""}",,/home/dungbv/clau/data/own_dataset/obfuscated/h00001/n26081501_fla_bcf_instsub.elf,OBFUSCATED_BINARY,True,INCONCLUSIVE,INCONCLUSIVE,INSUFFICIENT_BUDGET,1,15930,310,16240,,45.19888234138489,,0.0595242977142334,0.22318100929260254,45.49889302253723,,,,1,True,True,True,False,0,,,,,False,False,0,,,,False,0,[],,,,False,False,False,False,False,False,27,0,0,27,0,0,0,,True,True,True,True,False,True,True,False,True,False,False,,,/home/dungbv/clau/result/eval_20260821_155030/h00001/h00001.ll,/home/dungbv/clau/result/eval_20260821_155030/h00001/h00001_final.ll,/home/dungbv/clau/result/eval_20260821_155030/h00001/h00001_brightened.ll,True,True,,1201,434,63.86344712739383,91,34,62.637362637362635,41,2,95.1219512195122,,,,,,,,,,,,,,,,,,,,,,"[""Per-attempt LLM latency and API cost were not persisted."", ""clang-format or source prerequisite unavailable; SLOC metrics are null.""]"
2.0,experiment_20260821_155030,625c33b7524e64da7308,h00001,F1,F1,0,h00001,CLEAN_IR_ITERATIVE,five-flow-b1-b2-f1-f2-f3-v3,five-flow-b1-b2-f1-f2-f3-v3,CLEAN_IR_ITERATIVE,True,True,2026-08-21T08:50:37.106786+00:00,2026-08-21T08:55:10.076137+00:00,7ff456fd9417d2e8ead79c9740da32cfa77be54f007c08c78cc2ceb6ae502956,,"{""behavioral_repair_budget"": 4, ""compile_repair_budget"": 4, ""cpu_limit"": null, ""error_context_enabled"": true, ""flow_layout_version"": ""five-flow-b1-b2-f1-f2-f3-v3"", ""flow_name"": ""CLEAN_IR_ITERATIVE"", ""fuzzing_budget_inputs"": 1000, ""fuzzing_budget_seconds"": 1.0, ""fuzzing_seed"": null, ""max_iterations"": 5, ""max_tokens"": 65535, ""memory_limit"": null, ""model"": ""ag/gemini-3-flash-agent"", ""model_version"": [""gemini-default""], ""runtime_timeout_seconds"": 0.1, ""source_flow_layout_version"": ""five-flow-b1-b2-f1-f2-f3-v3"", ""source_flow_name"": ""CLEAN_IR_ITERATIVE"", ""temperature"": null, ""top_p"": null}",1c43bfe9d5d7f6c59503ca46cc29848a000851d7,"{""clang"": ""Ubuntu clang version 21.1.8 (++20251221032922+2078da43e25a-1~exp1~20251221153059.70)"", ""fuzzer"": ""historical AFL++ metadata; binary version unrecorded"", ""llvm_opt"": ""Ubuntu LLVM version 21.1.8"", ""python"": ""Python 3.12.3""}",,/home/dungbv/clau/data/own_dataset/obfuscated/h00001/n26081501_fla_bcf_instsub.elf,OBFUSCATED_BINARY,True,INCONCLUSIVE,INCONCLUSIVE,INSUFFICIENT_BUDGET,5,352593,8531,361124,,271.489520072937,,0.10548925399780273,1.337472915649414,272.96983575820923,,,,2,True,True,True,False,0,,,/home/dungbv/clau/result/eval_20260821_155030/h00001/F1/recovered_iter2.c,,False,False,0,,,,False,0,[],,,,False,False,False,False,False,False,20,0,0,20,0,0,0,,True,True,True,True,False,True,True,False,True,False,False,,,/home/dungbv/clau/result/eval_20260821_155030/h00001/h00001.ll,/home/dungbv/clau/result/eval_20260821_155030/h00001/h00001_final.ll,/home/dungbv/clau/result/eval_20260821_155030/h00001/h00001_brightened.ll,True,True,,1201,434,63.86344712739383,91,34,62.637362637362635,41,2,95.1219512195122,,,,,,,,,,,,,,,,,,,,,,"[""Per-attempt LLM latency and API cost were not persisted."", ""clang-format or source prerequisite unavailable; SLOC metrics are null.""]"
2.0,experiment_20260821_155030,3a990f4eac94583e488d,h00001,F2,F2,0,h00001,RAW_IR_ITERATIVE,five-flow-b1-b2-f1-f2-f3-v3,five-flow-b1-b2-f1-f2-f3-v3,RAW_IR_ITERATIVE,True,True,2026-08-21T08:50:37.106786+00:00,2026-08-21T08:54:02.679041+00:00,e4b113e4eef12503382cfedde5531514c0c0110d73a19818f9112b9fbfae1096,,"{""behavioral_repair_budget"": 4, ""compile_repair_budget"": 4, ""cpu_limit"": null, ""error_context_enabled"": true, ""flow_layout_version"": ""five-flow-b1-b2-f1-f2-f3-v3"", ""flow_name"": ""RAW_IR_ITERATIVE"", ""fuzzing_budget_inputs"": 1000, ""fuzzing_budget_seconds"": 1.0, ""fuzzing_seed"": null, ""max_iterations"": 5, ""max_tokens"": 65535, ""memory_limit"": null, ""model"": ""ag/gemini-3-flash-agent"", ""model_version"": [""gemini-default""], ""runtime_timeout_seconds"": 0.1, ""source_flow_layout_version"": ""five-flow-b1-b2-f1-f2-f3-v3"", ""source_flow_name"": ""RAW_IR_ITERATIVE"", ""temperature"": null, ""top_p"": null}",1c43bfe9d5d7f6c59503ca46cc29848a000851d7,"{""clang"": ""Ubuntu clang version 21.1.8 (++20251221032922+2078da43e25a-1~exp1~20251221153059.70)"", ""fuzzer"": ""historical AFL++ metadata; binary version unrecorded"", ""llvm_opt"": ""Ubuntu LLVM version 21.1.8"", ""python"": ""Python 3.12.3""}",,/home/dungbv/clau/data/own_dataset/obfuscated/h00001/n26081501_fla_bcf_instsub.elf,OBFUSCATED_BINARY,True,INCONCLUSIVE,INCONCLUSIVE,INSUFFICIENT_BUDGET,5,694013,2039,696052,,204.10191082954407,,0.27387404441833496,1.1150996685028076,205.57275414466858,,,,5,True,True,True,False,0,,,/home/dungbv/clau/result/eval_20260821_155030/h00001/F2/recovered_iter2.c,,False,False,0,,,,False,0,[],,,,False,False,False,False,False,False,27,0,0,27,0,0,0,,True,True,True,True,False,True,True,False,True,False,False,,,/home/dungbv/clau/result/eval_20260821_155030/h00001/h00001.ll,/home/dungbv/clau/result/eval_20260821_155030/h00001/h00001_final.ll,/home/dungbv/clau/result/eval_20260821_155030/h00001/h00001_brightened.ll,True,True,,1201,434,63.86344712739383,91,34,62.637362637362635,41,2,95.1219512195122,,,,,,,,,,,,,,,,,,,,,,"[""Per-attempt LLM latency and API cost were not persisted."", ""clang-format or source prerequisite unavailable; SLOC metrics are null.""]"
2.0,experiment_20260821_155030,ce8fdc3b230089baad74,h00001,F3,F3,0,h00001,CLEAN_IR_ONESHOT,five-flow-b1-b2-f1-f2-f3-v3,five-flow-b1-b2-f1-f2-f3-v3,CLEAN_IR_ONESHOT,False,False,2026-08-21T08:50:37.106878+00:00,2026-08-21T08:51:55.542994+00:00,691eedf406be154911fa0bf2489e77efbccf75ef15a6937c3fe7bceaaa5a6071,,"{""behavioral_repair_budget"": 0, ""compile_repair_budget"": 0, ""cpu_limit"": null, ""error_context_enabled"": false, ""flow_layout_version"": ""five-flow-b1-b2-f1-f2-f3-v3"", ""flow_name"": ""CLEAN_IR_ONESHOT"", ""fuzzing_budget_inputs"": 1000, ""fuzzing_budget_seconds"": 1.0, ""fuzzing_seed"": null, ""max_iterations"": 1, ""max_tokens"": 65535, ""memory_limit"": null, ""model"": ""ag/gemini-3-flash-agent"", ""model_version"": [""gemini-default""], ""runtime_timeout_seconds"": 0.1, ""source_flow_layout_version"": ""five-flow-b1-b2-f1-f2-f3-v3"", ""source_flow_name"": ""CLEAN_IR_ONESHOT"", ""temperature"": null, ""top_p"": null}",1c43bfe9d5d7f6c59503ca46cc29848a000851d7,"{""clang"": ""Ubuntu clang version 21.1.8 (++20251221032922+2078da43e25a-1~exp1~20251221153059.70)"", ""fuzzer"": ""historical AFL++ metadata; binary version unrecorded"", ""llvm_opt"": ""Ubuntu LLVM version 21.1.8"", ""python"": ""Python 3.12.3""}",,/home/dungbv/clau/data/own_dataset/obfuscated/h00001/n26081501_fla_bcf_instsub.elf,OBFUSCATED_BINARY,True,INCONCLUSIVE,INCONCLUSIVE,INSUFFICIENT_BUDGET,1,57092,712,57804,,78.12905478477478,,0.061079978942871094,0.22877812385559082,78.43664979934692,,,,1,True,True,True,False,0,,,,,False,False,0,,,,False,0,[],,,,False,False,False,False,False,False,26,0,0,26,0,0,0,,True,True,True,True,False,True,True,False,True,False,False,,,/home/dungbv/clau/result/eval_20260821_155030/h00001/h00001.ll,/home/dungbv/clau/result/eval_20260821_155030/h00001/h00001_final.ll,/home/dungbv/clau/result/eval_20260821_155030/h00001/h00001_brightened.ll,True,True,,1201,434,63.86344712739383,91,34,62.637362637362635,41,2,95.1219512195122,,,,,,,,,,,,,,,,,,,,,,"[""Per-attempt LLM latency and API cost were not persisted."", ""clang-format or source prerequisite unavailable; SLOC metrics are null.""]"
