dataset,level,sample_id,transition,before_stage,after_stage,pure_default_optimizer_boundary,functions_before,functions_after,functions_delta,functions_delta_ratio,blocks_before,blocks_after,blocks_delta,blocks_delta_ratio,instructions_before,instructions_after,instructions_delta,instructions_delta_ratio,conditional_branches_before,conditional_branches_after,conditional_branches_delta,conditional_branches_delta_ratio,calls_before,calls_after,calls_delta,calls_delta_ratio,direct_calls_before,direct_calls_after,direct_calls_delta,direct_calls_delta_ratio,indirect_calls_before,indirect_calls_after,indirect_calls_delta,indirect_calls_delta_ratio,intrinsics_before,intrinsics_after,intrinsics_delta,intrinsics_delta_ratio,allocas_before,allocas_after,allocas_delta,allocas_delta_ratio,loads_before,loads_after,loads_delta,loads_delta_ratio,stores_before,stores_after,stores_delta,stores_delta_ratio,geps_before,geps_after,geps_delta,geps_delta_ratio,phis_before,phis_after,phis_delta,phis_delta_ratio,selects_before,selects_after,selects_delta,selects_delta_ratio,switches_before,switches_after,switches_delta,switches_delta_ratio,unreachable_before,unreachable_after,unreachable_delta,unreachable_delta_ratio,memory_ops_before,memory_ops_after,memory_ops_delta,memory_ops_delta_ratio,scalar_cleanup_ops_before,scalar_cleanup_ops_after,scalar_cleanup_ops_delta,scalar_cleanup_ops_delta_ratio,vector_instructions_before,vector_instructions_after,vector_instructions_delta,vector_instructions_delta_ratio
own_v1,O1,h00003,main_combined_custom_plus_opt_1_2,raw_lift,brightened_main,False,26,2,-24,-0.9230769230769231,123,34,-89,-0.7235772357723578,1288,231,-1057,-0.8206521739130435,46,1,-45,-0.9782608695652174,40,5,-35,-0.875,35,5,-30,-0.8571428571428571,5,0,-5,-1.0,11,1,-10,-0.9090909090909091,0,2,2,,81,30,-51,-0.6296296296296297,226,54,-172,-0.7610619469026548,5,52,47,9.4,2,2,0,0.0,12,11,-1,-0.08333333333333333,0,1,1,,3,0,-3,-1.0,312,138,-174,-0.5576923076923077,397,31,-366,-0.9219143576826196,0,0,0,
own_v1,O1,h00003,bundle_exact_pointer_passes,bundle_verified_input,bundle_pointer_opt,False,2,2,0,0.0,34,34,0,0.0,231,231,0,0.0,1,1,0,0.0,5,5,0,0.0,5,5,0,0.0,0,0,0,,1,1,0,0.0,2,2,0,0.0,30,30,0,0.0,54,54,0,0.0,52,52,0,0.0,2,2,0,0.0,11,11,0,0.0,1,1,0,0.0,0,0,0,,138,138,0,0.0,31,31,0,0.0,0,0,0,
own_v1,O1,h00003,llvm_default_opt_boundary_3,bundle_pointer_opt,bundle_standard_opt_3,True,2,2,0,0.0,34,34,0,0.0,231,202,-29,-0.12554112554112554,1,1,0,0.0,5,5,0,0.0,5,5,0,0.0,0,0,0,,1,1,0,0.0,2,2,0,0.0,30,30,0,0.0,54,54,0,0.0,52,23,-29,-0.5576923076923077,2,2,0,0.0,11,11,0,0.0,1,1,0,0.0,0,0,0,,138,109,-29,-0.21014492753623187,31,31,0,0.0,0,0,0,
own_v1,O1,h00003,custom_storage_delift,bundle_standard_opt_3,bundle_storage_delift,False,2,2,0,0.0,34,34,0,0.0,202,202,0,0.0,1,1,0,0.0,5,5,0,0.0,5,5,0,0.0,0,0,0,,1,1,0,0.0,2,2,0,0.0,30,30,0,0.0,54,54,0,0.0,23,23,0,0.0,2,2,0,0.0,11,11,0,0.0,1,1,0,0.0,0,0,0,,109,109,0,0.0,31,31,0,0.0,0,0,0,
own_v1,O1,h00003,custom_residual_strip,bundle_storage_delift,bundle_residual_strip,False,2,2,0,0.0,34,34,0,0.0,202,202,0,0.0,1,1,0,0.0,5,5,0,0.0,5,5,0,0.0,0,0,0,,1,1,0,0.0,2,2,0,0.0,30,30,0,0.0,54,54,0,0.0,23,23,0,0.0,2,2,0,0.0,11,11,0,0.0,1,1,0,0.0,0,0,0,,109,109,0,0.0,31,31,0,0.0,0,0,0,
own_v1,O1,h00003,final_tail_opt_4_plus_custom_cleanup,bundle_residual_strip,final_clean,False,2,1,-1,-0.5,34,33,-1,-0.029411764705882353,202,201,-1,-0.0049504950495049506,1,1,0,0.0,5,5,0,0.0,5,5,0,0.0,0,0,0,,1,1,0,0.0,2,2,0,0.0,30,30,0,0.0,54,54,0,0.0,23,23,0,0.0,2,2,0,0.0,11,11,0,0.0,1,1,0,0.0,0,0,0,,109,109,0,0.0,31,31,0,0.0,0,0,0,
own_v1,O1,h00004,main_combined_custom_plus_opt_1_2,raw_lift,brightened_main,False,28,10,-18,-0.6428571428571429,106,40,-66,-0.6226415094339622,1472,1131,-341,-0.23165760869565216,37,4,-33,-0.8918918918918919,56,33,-23,-0.4107142857142857,51,31,-20,-0.39215686274509803,5,2,-3,-0.6,21,14,-7,-0.3333333333333333,0,5,5,,93,133,40,0.43010752688172044,316,520,204,0.6455696202531646,5,77,72,14.4,6,33,27,4.5,10,20,10,1.0,2,1,-1,-0.5,3,0,-3,-1.0,414,735,321,0.7753623188405797,432,179,-253,-0.5856481481481481,0,0,0,
own_v1,O1,h00004,bundle_exact_pointer_passes,bundle_verified_input,bundle_pointer_opt,False,10,10,0,0.0,40,40,0,0.0,1131,1127,-4,-0.0035366931918656055,4,4,0,0.0,33,33,0,0.0,31,31,0,0.0,2,2,0,0.0,14,14,0,0.0,5,5,0,0.0,133,133,0,0.0,520,520,0,0.0,77,77,0,0.0,33,33,0,0.0,20,20,0,0.0,1,1,0,0.0,0,0,0,,735,735,0,0.0,179,175,-4,-0.0223463687150838,0,0,0,
own_v1,O1,h00004,llvm_default_opt_boundary_3,bundle_pointer_opt,bundle_standard_opt_3,True,10,10,0,0.0,40,40,0,0.0,1127,1033,-94,-0.0834072759538598,4,4,0,0.0,33,31,-2,-0.06060606060606061,31,29,-2,-0.06451612903225806,2,2,0,0.0,14,14,0,0.0,5,5,0,0.0,133,97,-36,-0.2706766917293233,520,466,-54,-0.10384615384615385,77,77,0,0.0,33,33,0,0.0,20,20,0,0.0,1,1,0,0.0,0,0,0,,735,645,-90,-0.12244897959183673,175,173,-2,-0.011428571428571429,0,0,0,
own_v1,O1,h00004,custom_storage_delift,bundle_standard_opt_3,bundle_storage_delift,False,10,10,0,0.0,40,40,0,0.0,1033,1033,0,0.0,4,4,0,0.0,31,31,0,0.0,29,29,0,0.0,2,2,0,0.0,14,14,0,0.0,5,5,0,0.0,97,97,0,0.0,466,466,0,0.0,77,77,0,0.0,33,33,0,0.0,20,20,0,0.0,1,1,0,0.0,0,0,0,,645,645,0,0.0,173,173,0,0.0,0,0,0,
own_v1,O1,h00004,custom_residual_strip,bundle_storage_delift,bundle_residual_strip,False,10,10,0,0.0,40,40,0,0.0,1033,1033,0,0.0,4,4,0,0.0,31,31,0,0.0,29,29,0,0.0,2,2,0,0.0,14,14,0,0.0,5,5,0,0.0,97,97,0,0.0,466,466,0,0.0,77,77,0,0.0,33,33,0,0.0,20,20,0,0.0,1,1,0,0.0,0,0,0,,645,645,0,0.0,173,173,0,0.0,0,0,0,
