dataset,level,sample_id,boundary,production_replay_valid,opcode,before,after,delta
public_v1,O1,p00001,bundle_post_opt_4_custom_cleanup,True,alloca,1,1,0
public_v1,O1,p00001,bundle_post_opt_4_custom_cleanup,True,and,1,1,0
public_v1,O1,p00001,bundle_post_opt_4_custom_cleanup,True,br,18,18,0
public_v1,O1,p00001,bundle_post_opt_4_custom_cleanup,True,call,15,13,-2
public_v1,O1,p00001,bundle_post_opt_4_custom_cleanup,True,getelementptr,38,37,-1
public_v1,O1,p00001,bundle_post_opt_4_custom_cleanup,True,icmp,7,5,-2
public_v1,O1,p00001,bundle_post_opt_4_custom_cleanup,True,inttoptr,1,0,-1
public_v1,O1,p00001,bundle_post_opt_4_custom_cleanup,True,load,12,8,-4
public_v1,O1,p00001,bundle_post_opt_4_custom_cleanup,True,phi,4,7,3
public_v1,O1,p00001,bundle_post_opt_4_custom_cleanup,True,ptrtoint,4,4,0
public_v1,O1,p00001,bundle_post_opt_4_custom_cleanup,True,ret,4,2,-2
public_v1,O1,p00001,bundle_post_opt_4_custom_cleanup,True,select,5,2,-3
public_v1,O1,p00001,bundle_post_opt_4_custom_cleanup,True,sext,2,2,0
public_v1,O1,p00001,bundle_post_opt_4_custom_cleanup,True,shl,2,2,0
public_v1,O1,p00001,bundle_post_opt_4_custom_cleanup,True,store,107,58,-49
public_v1,O1,p00001,bundle_post_opt_4_custom_cleanup,True,sub,1,1,0
public_v1,O1,p00001,bundle_post_opt_4_custom_cleanup,True,switch,1,1,0
public_v1,O1,p00001,bundle_post_opt_4_custom_cleanup,True,zext,2,2,0
public_v1,O1,p00008,main_default_opt_1,True,add,226,181,-45
public_v1,O1,p00008,main_default_opt_1,True,alloca,5,3,-2
public_v1,O1,p00008,main_default_opt_1,True,and,15,8,-7
public_v1,O1,p00008,main_default_opt_1,True,br,29,29,0
public_v1,O1,p00008,main_default_opt_1,True,call,12,7,-5
public_v1,O1,p00008,main_default_opt_1,True,extractvalue,14,0,-14
public_v1,O1,p00008,main_default_opt_1,True,getelementptr,390,195,-195
public_v1,O1,p00008,main_default_opt_1,True,icmp,187,160,-27
public_v1,O1,p00008,main_default_opt_1,True,insertvalue,22,0,-22
public_v1,O1,p00008,main_default_opt_1,True,inttoptr,55,48,-7
public_v1,O1,p00008,main_default_opt_1,True,load,131,103,-28
public_v1,O1,p00008,main_default_opt_1,True,mul,3,3,0
public_v1,O1,p00008,main_default_opt_1,True,or,7,8,1
public_v1,O1,p00008,main_default_opt_1,True,phi,1,1,0
public_v1,O1,p00008,main_default_opt_1,True,ptrtoint,6,5,-1
public_v1,O1,p00008,main_default_opt_1,True,ret,3,2,-1
public_v1,O1,p00008,main_default_opt_1,True,select,178,157,-21
public_v1,O1,p00008,main_default_opt_1,True,sext,8,8,0
public_v1,O1,p00008,main_default_opt_1,True,shl,8,8,0
public_v1,O1,p00008,main_default_opt_1,True,store,204,186,-18
public_v1,O1,p00008,main_default_opt_1,True,sub,25,2,-23
public_v1,O1,p00008,main_default_opt_1,True,trunc,3,1,-2
public_v1,O1,p00008,main_default_opt_1,True,xor,8,8,0
public_v1,O1,p00008,main_default_opt_1,True,zext,18,17,-1
public_v1,O1,p00008,main_default_opt_2,True,add,180,180,0
public_v1,O1,p00008,main_default_opt_2,True,alloca,3,3,0
public_v1,O1,p00008,main_default_opt_2,True,and,101,7,-94
public_v1,O1,p00008,main_default_opt_2,True,br,29,29,0
public_v1,O1,p00008,main_default_opt_2,True,call,6,7,1
public_v1,O1,p00008,main_default_opt_2,True,getelementptr,204,196,-8
public_v1,O1,p00008,main_default_opt_2,True,icmp,177,165,-12
public_v1,O1,p00008,main_default_opt_2,True,inttoptr,51,49,-2
public_v1,O1,p00008,main_default_opt_2,True,load,90,90,0
public_v1,O1,p00008,main_default_opt_2,True,mul,2,2,0
public_v1,O1,p00008,main_default_opt_2,True,or,92,4,-88
public_v1,O1,p00008,main_default_opt_2,True,phi,3,3,0
public_v1,O1,p00008,main_default_opt_2,True,ptrtoint,5,3,-2
public_v1,O1,p00008,main_default_opt_2,True,ret,2,2,0
public_v1,O1,p00008,main_default_opt_2,True,select,166,160,-6
public_v1,O1,p00008,main_default_opt_2,True,sext,8,8,0
public_v1,O1,p00008,main_default_opt_2,True,shl,8,8,0
public_v1,O1,p00008,main_default_opt_2,True,store,158,155,-3
public_v1,O1,p00008,main_default_opt_2,True,sub,9,0,-9
public_v1,O1,p00008,main_default_opt_2,True,trunc,3,1,-2
public_v1,O1,p00008,main_default_opt_2,True,xor,6,6,0
public_v1,O1,p00008,main_default_opt_2,True,zext,13,11,-2
public_v1,O1,p00008,bundle_default_opt_3,True,add,11,11,0
public_v1,O1,p00008,bundle_default_opt_3,True,alloca,3,3,0
public_v1,O1,p00008,bundle_default_opt_3,True,and,7,7,0
public_v1,O1,p00008,bundle_default_opt_3,True,br,29,24,-5
public_v1,O1,p00008,bundle_default_opt_3,True,call,7,7,0
public_v1,O1,p00008,bundle_default_opt_3,True,getelementptr,84,45,-39
public_v1,O1,p00008,bundle_default_opt_3,True,icmp,21,22,1
public_v1,O1,p00008,bundle_default_opt_3,True,inttoptr,1,1,0
public_v1,O1,p00008,bundle_default_opt_3,True,load,45,31,-14
public_v1,O1,p00008,bundle_default_opt_3,True,mul,2,2,0
public_v1,O1,p00008,bundle_default_opt_3,True,or,4,4,0
public_v1,O1,p00008,bundle_default_opt_3,True,phi,4,6,2
public_v1,O1,p00008,bundle_default_opt_3,True,ptrtoint,2,2,0
public_v1,O1,p00008,bundle_default_opt_3,True,ret,2,2,0
public_v1,O1,p00008,bundle_default_opt_3,True,select,3,3,0
public_v1,O1,p00008,bundle_default_opt_3,True,sext,8,3,-5
public_v1,O1,p00008,bundle_default_opt_3,True,shl,8,3,-5
public_v1,O1,p00008,bundle_default_opt_3,True,store,39,39,0
public_v1,O1,p00008,bundle_default_opt_3,True,trunc,1,2,1
public_v1,O1,p00008,bundle_default_opt_3,True,xor,6,6,0
public_v1,O1,p00008,bundle_default_opt_3,True,zext,5,5,0
public_v1,O1,p00008,bundle_default_opt_4,True,add,11,11,0
public_v1,O1,p00008,bundle_default_opt_4,True,alloca,3,3,0
public_v1,O1,p00008,bundle_default_opt_4,True,and,7,7,0
public_v1,O1,p00008,bundle_default_opt_4,True,br,24,24,0
public_v1,O1,p00008,bundle_default_opt_4,True,call,7,7,0
public_v1,O1,p00008,bundle_default_opt_4,True,getelementptr,45,45,0
public_v1,O1,p00008,bundle_default_opt_4,True,icmp,22,22,0
public_v1,O1,p00008,bundle_default_opt_4,True,inttoptr,1,1,0
public_v1,O1,p00008,bundle_default_opt_4,True,load,31,31,0
public_v1,O1,p00008,bundle_default_opt_4,True,mul,2,2,0
public_v1,O1,p00008,bundle_default_opt_4,True,or,4,4,0
public_v1,O1,p00008,bundle_default_opt_4,True,phi,6,6,0
public_v1,O1,p00008,bundle_default_opt_4,True,ptrtoint,2,2,0
public_v1,O1,p00008,bundle_default_opt_4,True,ret,2,2,0
public_v1,O1,p00008,bundle_default_opt_4,True,select,3,3,0
public_v1,O1,p00008,bundle_default_opt_4,True,sext,3,3,0
public_v1,O1,p00008,bundle_default_opt_4,True,shl,3,3,0
public_v1,O1,p00008,bundle_default_opt_4,True,store,39,39,0
public_v1,O1,p00008,bundle_default_opt_4,True,trunc,2,2,0
public_v1,O1,p00008,bundle_default_opt_4,True,xor,6,6,0
public_v1,O1,p00008,bundle_default_opt_4,True,zext,5,5,0
public_v1,O1,p00008,bundle_post_opt_4_custom_cleanup,True,add,11,11,0
public_v1,O1,p00008,bundle_post_opt_4_custom_cleanup,True,alloca,3,3,0
