flow_id,fuzz_generated_count,fuzz_executed_on_both_count,fuzz_valid_count,valid_input_rate_percent,executable_pair_execution_rate_percent,counterexample_replay_count,counterexample_replay_success_count,counterexample_reproducibility_rate_percent,inconclusive_count,inconclusive_rate_percent
F1,38030,35109,34999,92.02997633447279,92.31922166710493,74,74,100.0,0,0.0
F2,30037,25061,25059,83.42710656856543,83.43376502313814,76,76,100.0,0,0.0
F3,40032,37043,36686,91.64168665067946,92.53347322142285,88,88,100.0,0,0.0
F4,40075,37044,36848,91.9475982532751,92.43668122270743,98,98,100.0,0,0.0
F5,37018,33193,33051,89.28359176616782,89.66718893511265,152,152,100.0,0,0.0
F6,18873,18861,18534,98.20378318232396,99.93641710379907,28,28,100.0,0,0.0
