experiment_id,sample_id,flow_id,repeat_id,llm_calls,input_tokens,output_tokens,total_tokens,estimated_api_cost,llm_latency,preprocessing_time,compile_time,fuzzing_time,total_runtime,time_to_first_candidate,time_to_first_compilable_candidate,time_to_first_behavioral_pass_candidate,compiler_attempts,compile_repair_rounds,behavioral_repair_rounds,counterexamples_used,peak_memory,cpu_time
experiment_20260728_124405,p00001,F4,0,1,43720,326,44046,,13.869678735733032,,0.08566498756408691,2.305974006652832,16.27396249771118,,,,1,0,0,0,,
experiment_20260728_124405,p00001,F1,0,1,44930,356,45286,,15.27638030052185,,0.09315943717956543,2.268690347671509,17.668965816497803,,,,1,0,0,0,,
experiment_20260728_124405,p00001,F5,0,3,613854,3505,617359,,126.83722758293152,,0.433150053024292,20.115805864334106,147.43039917945862,,,,2,0,1,0,,
experiment_20260728_124405,p00001,F3,0,1,47060,360,47420,,18.865145683288574,,0.06292605400085449,1.8250813484191895,20.76213836669922,,,,1,0,0,0,,
experiment_20260728_124405,p00001,F2,0,1,48573,341,48914,,23.684072732925415,,0.0632786750793457,1.895293951034546,25.67309260368347,,,,1,0,0,0,,
experiment_20260728_124405,p00008,F4,0,1,90375,341,90716,,34.53198719024658,,0.08778953552246094,2.423332452774048,37.05638670921326,,,,1,0,0,0,,
experiment_20260728_124405,p00008,F1,0,2,216245,2731,218976,,115.88850927352905,,0.09577155113220215,2.7717156410217285,118.76579904556274,,,,1,0,0,0,,
experiment_20260728_124405,p00008,F5,0,1,225270,173,225443,,48.081698179244995,,0.06574273109436035,2.078856945037842,50.23518395423889,,,,1,0,0,0,,
experiment_20260728_124405,p00008,F3,0,1,91523,173,91696,,38.55416512489319,,0.06640911102294922,1.96639084815979,40.58945608139038,,,,1,0,0,0,,
experiment_20260728_124405,p00008,F2,0,1,84344,174,84518,,26.16473150253296,,0.0647439956665039,2.0603160858154297,28.30078148841858,,,,1,0,0,0,,
experiment_20260728_124405,p00033,F4,0,2,232706,1169,233875,,81.54284048080444,,0.5002114772796631,71.85024547576904,153.96139287948608,,,,2,0,1,0,,
experiment_20260728_124405,p00033,F1,0,3,403823,3721,407544,,181.38588047027588,,0.258439302444458,27.258700132369995,208.95278453826904,,,,2,0,1,0,,
experiment_20260728_124405,p00033,F5,0,5,1331680,3319,1334999,,317.07746028900146,,0.11037158966064453,3.0196564197540283,320.2895267009735,,,,1,0,0,0,,
experiment_20260728_124405,p00033,F3,0,2,227681,1182,228863,,84.53130555152893,,0.4745604991912842,27.546025276184082,112.56809282302856,,,,2,0,1,0,,
experiment_20260728_124405,p00033,F2,0,1,128961,547,129508,,66.39477062225342,,0.11558961868286133,9.496332168579102,76.0485565662384,,,,1,0,0,0,,
experiment_20260728_124405,p00165,F4,0,1,82901,450,83351,,51.488749265670776,,0.22417449951171875,15.473997354507446,67.20530128479004,,,,1,0,0,0,,
experiment_20260728_124405,p00165,F1,0,5,507169,34455,541624,,363.16270637512207,,0.6581282615661621,616.2046554088593,980.1835396289825,,,,3,2,1,0,,
experiment_20260728_124405,p00165,F5,0,3,602299,3498,605797,,218.4999840259552,,0.5268888473510742,47.0806930065155,266.14643716812134,,,,2,0,1,0,,
experiment_20260728_124405,p00165,F3,0,2,156022,1008,157030,,83.54631090164185,,0.5452277660369873,59.397918462753296,143.50896334648132,,,,2,0,1,0,,
experiment_20260728_124405,p00165,F2,0,1,78138,484,78622,,48.259379148483276,,0.25977182388305664,15.833905696868896,64.36830615997314,,,,1,0,0,0,,
experiment_20260728_124405,p00327,F4,0,1,75138,568,75706,,44.3861985206604,,0.21725130081176758,9.045675277709961,53.676201581954956,,,,1,0,0,0,,
experiment_20260728_124405,p00327,F1,0,1,69544,533,70077,,36.484389781951904,,0.2052156925201416,7.4482262134552,44.15851640701294,,,,1,0,0,0,,
experiment_20260728_124405,p00327,F5,0,5,1252704,8871,1261575,,384.93542432785034,,0.3655567169189453,22.888145923614502,408.2404217720032,,,,2,0,1,0,,
experiment_20260728_124405,p00327,F3,0,2,166169,1017,167186,,114.11705946922302,,0.5010175704956055,16.511983156204224,131.1513340473175,,,,2,0,1,0,,
experiment_20260728_124405,p00327,F2,0,1,73947,490,74437,,42.3395631313324,,0.15234804153442383,7.583211421966553,50.092097759246826,,,,1,0,0,0,,
experiment_20260728_124405,p00678,F4,0,2,273467,3241,276708,,101.31146883964539,,0.1622939109802246,5.511110067367554,107.01971125602722,,,,1,0,0,0,,
experiment_20260728_124405,p00678,F1,0,1,114533,674,115207,,28.204970598220825,,0.20954418182373047,7.863105297088623,36.2973690032959,,,,1,0,0,0,,
experiment_20260728_124405,p00678,F5,0,4,901294,6404,907698,,289.7032437324524,,0.31246137619018555,23.009183645248413,313.08709239959717,,,,2,0,1,0,,
experiment_20260728_124405,p00678,F3,0,3,400892,3855,404747,,147.23972368240356,,0.48247718811035156,24.232563018798828,171.9816381931305,,,,2,0,1,0,,
experiment_20260728_124405,p00678,F2,0,2,308847,5109,313956,,147.6298291683197,,0.0,0.0,147.673677444458,,,,0,0,0,0,,
