experiment_id,sample_id,raw_ir_path,clean_ir_path,llvm_verify_attempted,llvm_verify_success,llvm_verify_error,raw_instruction_count,clean_instruction_count,instruction_reduction_percent,raw_basic_block_count,clean_basic_block_count,basic_block_reduction_percent,raw_conditional_branch_count,clean_conditional_branch_count,conditional_branch_reduction_percent
experiment_20260728_124405,p00001,/home/dungbv/clau/result/eval_20260728_124405/p00001/p00001.ll,/home/dungbv/clau/result/eval_20260728_124405/p00001/p00001_brightened.ll,True,True,,3139,437,86.07836890729533,141,25,82.26950354609929,63,7,88.88888888888889
experiment_20260728_124405,p00008,/home/dungbv/clau/result/eval_20260728_124405/p00008/p00008.ll,/home/dungbv/clau/result/eval_20260728_124405/p00008/p00008_brightened.ll,True,True,,3614,1095,69.70116214720531,180,31,82.77777777777777,86,13,84.88372093023256
experiment_20260728_124405,p00033,/home/dungbv/clau/result/eval_20260728_124405/p00033/p00033.ll,/home/dungbv/clau/result/eval_20260728_124405/p00033/p00033_brightened.ll,True,True,,4099,1776,56.67235911197853,208,100,51.92307692307693,99,11,88.88888888888889
experiment_20260728_124405,p00165,/home/dungbv/clau/result/eval_20260728_124405/p00165/p00165.ll,/home/dungbv/clau/result/eval_20260728_124405/p00165/p00165_brightened.ll,True,True,,2313,732,68.35278858625162,128,26,79.6875,60,13,78.33333333333333
experiment_20260728_124405,p00327,/home/dungbv/clau/result/eval_20260728_124405/p00327/p00327.ll,/home/dungbv/clau/result/eval_20260728_124405/p00327/p00327_brightened.ll,True,True,,3741,683,81.74284950547982,166,27,83.73493975903614,79,17,78.48101265822784
experiment_20260728_124405,p00678,/home/dungbv/clau/result/eval_20260728_124405/p00678/p00678.ll,/home/dungbv/clau/result/eval_20260728_124405/p00678/p00678_brightened.ll,True,True,,3083,1402,54.524813493350635,161,90,44.099378881987576,78,18,76.92307692307693
experiment_20260728_124405,p00693,/home/dungbv/clau/result/eval_20260728_124405/p00693/p00693.ll,/home/dungbv/clau/result/eval_20260728_124405/p00693/p00693_brightened.ll,True,True,,3887,768,80.24183174684848,196,30,84.6938775510204,93,17,81.72043010752688
experiment_20260728_124405,p00788,/home/dungbv/clau/result/eval_20260728_124405/p00788/p00788.ll,/home/dungbv/clau/result/eval_20260728_124405/p00788/p00788_brightened.ll,True,True,,2815,720,74.42273534635879,152,57,62.5,70,15,78.57142857142857
experiment_20260728_124405,p00793,/home/dungbv/clau/result/eval_20260728_124405/p00793/p00793.ll,/home/dungbv/clau/result/eval_20260728_124405/p00793/p00793_brightened.ll,True,True,,3671,5668,-54.39934622718605,159,119,25.157232704402517,76,52,31.57894736842105
experiment_20260728_124405,p00859,/home/dungbv/clau/result/eval_20260728_124405/p00859/p00859.ll,/home/dungbv/clau/result/eval_20260728_124405/p00859/p00859_brightened.ll,True,True,,4458,1729,61.21579183490354,212,86,59.43396226415094,97,7,92.78350515463917
experiment_20260728_124405,p00867,/home/dungbv/clau/result/eval_20260728_124405/p00867/p00867.ll,/home/dungbv/clau/result/eval_20260728_124405/p00867/p00867_brightened.ll,True,True,,16443,7803,52.545155993431855,744,350,52.956989247311824,356,34,90.4494382022472
experiment_20260728_124405,p01296,/home/dungbv/clau/result/eval_20260728_124405/p01296/p01296.ll,/home/dungbv/clau/result/eval_20260728_124405/p01296/p01296_brightened.ll,True,True,,14249,6784,52.38964137834235,625,253,59.519999999999996,301,31,89.70099667774086
experiment_20260728_124405,p01315,/home/dungbv/clau/result/eval_20260728_124405/p01315/p01315.ll,/home/dungbv/clau/result/eval_20260728_124405/p01315/p01315_brightened.ll,True,True,,4160,1005,75.84134615384616,165,25,84.84848484848484,77,14,81.81818181818183
experiment_20260728_124405,p01571,/home/dungbv/clau/result/eval_20260728_124405/p01571/p01571.ll,/home/dungbv/clau/result/eval_20260728_124405/p01571/p01571_brightened.ll,True,True,,13195,6890,47.783251231527096,572,247,56.81818181818182,273,23,91.57509157509158
experiment_20260728_124405,p01687,/home/dungbv/clau/result/eval_20260728_124405/p01687/p01687.ll,/home/dungbv/clau/result/eval_20260728_124405/p01687/p01687_brightened.ll,True,True,,2708,732,72.96898079763663,139,47,66.18705035971223,64,17,73.4375
experiment_20260728_124405,p01766,/home/dungbv/clau/result/eval_20260728_124405/p01766/p01766.ll,/home/dungbv/clau/result/eval_20260728_124405/p01766/p01766_brightened.ll,True,True,,2584,392,84.82972136222911,122,21,82.78688524590164,57,11,80.7017543859649
experiment_20260728_124405,p01970,/home/dungbv/clau/result/eval_20260728_124405/p01970/p01970.ll,/home/dungbv/clau/result/eval_20260728_124405/p01970/p01970_brightened.ll,True,True,,3585,423,88.20083682008368,176,66,62.5,82,4,95.1219512195122
