flow_id,taxonomy,category,count
F1,FINAL_STATUS,FAIL_BEHAVIORAL,7
F1,FINAL_STATUS,FAIL_GENERATION,2
F1,FINAL_STATUS,PASS,31
F1,COMPILE_FAILURE,UNDECLARED_SYMBOL,1
F1,BEHAVIORAL_DIVERGENCE,MIXED_DIVERGENCE,1
F1,BEHAVIORAL_DIVERGENCE,OUTPUT_MISMATCH,6
F2,FINAL_STATUS,FAIL_BEHAVIORAL,13
F2,FINAL_STATUS,FAIL_GENERATION,4
F2,FINAL_STATUS,PASS,23
F2,BEHAVIORAL_DIVERGENCE,CRASH_MISMATCH,1
F2,BEHAVIORAL_DIVERGENCE,MIXED_DIVERGENCE,6
F2,BEHAVIORAL_DIVERGENCE,OUTPUT_MISMATCH,6
F3,FINAL_STATUS,FAIL_BEHAVIORAL,8
F3,FINAL_STATUS,PASS,32
F3,COMPILE_FAILURE,UNDECLARED_SYMBOL,1
F3,BEHAVIORAL_DIVERGENCE,MIXED_DIVERGENCE,2
F3,BEHAVIORAL_DIVERGENCE,OUTPUT_MISMATCH,6
F4,FINAL_STATUS,FAIL_BEHAVIORAL,8
F4,FINAL_STATUS,PASS,32
F4,BEHAVIORAL_DIVERGENCE,MIXED_DIVERGENCE,1
F4,BEHAVIORAL_DIVERGENCE,OUTPUT_MISMATCH,7
F5,FINAL_STATUS,FAIL_BEHAVIORAL,12
F5,FINAL_STATUS,FAIL_GENERATION,3
F5,FINAL_STATUS,PASS,25
F5,COMPILE_FAILURE,OTHER,1
F5,BEHAVIORAL_DIVERGENCE,MIXED_DIVERGENCE,2
F5,BEHAVIORAL_DIVERGENCE,OUTPUT_MISMATCH,10
F6,FINAL_STATUS,CANCELLED,2
F6,FINAL_STATUS,FAIL_BEHAVIORAL,14
F6,FINAL_STATUS,FAIL_COMPILE,1
F6,FINAL_STATUS,FAIL_GENERATION,16
F6,FINAL_STATUS,PASS,7
F6,COMPILE_FAILURE,OTHER,1
F6,BEHAVIORAL_DIVERGENCE,OUTPUT_MISMATCH,2
