sample_id,flow_id,status,llm_calls,compiler_attempts,compile_success_first,compile_success_final,compile_repair_rounds,behavioral_repair_rounds,fuzz_total,fuzz_matches,input_tokens,output_tokens,total_runtime
h00001,F3,PASS,1,1,True,True,0,0,1000,1000,54281,376,32.8693425655365
h00002,F3,PASS,1,1,True,True,0,0,1000,1000,23766,425,13.858702659606934
h00003,F3,PASS,1,1,True,True,0,0,1000,1000,23985,415,15.562154293060303
h00004,F3,PASS,3,3,True,True,0,2,1000,1000,227019,3772,116.46092414855957
h00005,F3,PASS,1,1,True,True,0,0,1000,1000,59142,260,43.35802245140076
h00006,F3,PASS,1,1,True,True,0,0,1000,1000,47932,411,23.799348831176758
h00007,F3,PASS,1,1,True,True,0,0,1000,1000,68385,385,44.52584910392761
h00008,F3,PASS,2,2,True,True,0,1,1000,1000,159261,952,75.68808698654175
h00009,F3,PASS,1,1,True,True,0,0,1000,1000,27484,393,16.675078868865967
h00010,F3,PASS,1,1,True,True,0,0,1000,1000,58745,548,27.986489057540894
h00011,F3,PASS,1,1,True,True,0,0,1000,1000,23951,320,17.020395278930664
h00012,F3,PASS,1,1,True,True,0,0,1000,1000,22938,254,19.954761743545532
h00013,F3,PASS,1,1,True,True,0,0,1000,1000,17647,387,15.337942361831665
h00014,F3,PASS,1,1,True,True,0,0,1000,1000,56904,453,18.326950550079346
h00015,F3,PASS,1,1,True,True,0,0,1000,1000,23160,310,14.601350545883179
h00016,F3,PASS,3,2,True,True,0,1,1000,1000,235730,3489,154.23374891281128
h00017,F3,PASS,1,1,True,True,0,0,1000,1000,47721,383,17.391660928726196
h00018,F3,PASS,1,1,True,True,0,0,1000,1000,68155,406,30.679492473602295
h00019,F3,PASS,2,2,True,True,0,1,1000,1000,87094,746,78.17910766601562
h00020,F3,PASS,2,2,True,True,0,1,1000,1000,138475,920,80.42808127403259
h00021,F3,PASS,4,2,True,True,0,1,1000,1000,304770,6943,197.68571090698242
h00022,F3,FAIL_BEHAVIORAL,5,4,True,True,0,4,1000,0,223748,4323,192.5689079761505
h00023,F3,PASS,1,1,True,True,0,0,1000,1000,29438,375,19.660962104797363
h00024,F3,PASS,1,1,True,True,0,0,1000,1000,53578,283,37.76979970932007
h00025,F3,PASS,3,2,True,True,0,1,1000,1000,207912,3322,103.61324954032898
h00026,F3,PASS,2,2,True,True,0,1,1000,1000,136325,1071,74.1106493473053
h00027,F3,PASS,2,1,True,True,0,0,1000,1000,188929,3101,87.24221920967102
h00028,F3,PASS,2,2,True,True,0,1,1000,1000,130293,1347,119.33078527450562
h00029,F3,PASS,1,1,True,True,0,0,1000,1000,96211,641,30.721487998962402
h00030,F3,PASS,2,2,True,True,0,1,1000,1000,129513,1320,81.47708678245544
h00031,F3,PASS,2,2,True,True,0,1,1000,1000,169221,1095,88.69558000564575
h00032,F3,PASS,2,1,False,True,0,0,1000,1000,129611,788,66.91825604438782
h00033,F3,PASS,1,1,True,True,0,0,1000,1000,59777,619,19.057793855667114
h00034,F3,PASS,2,2,True,True,0,1,1000,1000,187982,1222,85.63813257217407
h00035,F3,PASS,3,3,True,True,0,2,1000,1000,251821,1641,152.49298238754272
h00036,F3,PASS,2,2,True,True,0,1,1000,1000,45609,725,35.84221792221069
h00037,F3,PASS,1,1,True,True,0,0,1000,1000,62440,336,47.298702239990234
h00038,F3,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
h00039,F3,PASS,1,1,True,True,0,0,1000,1000,18557,353,11.879348278045654
h00040,F3,PASS,1,1,True,True,0,0,1000,1000,97060,609,20.18378496170044
