contrast_id,flow_a,flow_b,metric_name,paired_sample_count,excluded_sample_count,exclusion_reasons,flow_a_value,flow_b_value,absolute_difference,relative_difference_percent,ci_95_low,ci_95_high,flow_a_wins,ties,flow_b_wins
F1_VS_F2_ERROR_CONTEXT,F1,F2,First-pass RSR,0,40,METRIC_UNDEFINED=40,,,,,,,0,0,0
F1_VS_F2_ERROR_CONTEXT,F1,F2,Final RSR,0,40,METRIC_UNDEFINED=40,,,,,,,0,0,0
F1_VS_F2_ERROR_CONTEXT,F1,F2,Program Behavioral Pass Rate,0,40,METRIC_UNDEFINED=40,,,,,,,0,0,0
F1_VS_F2_ERROR_CONTEXT,F1,F2,Initial Behavioral Pass Rate,0,40,METRIC_UNDEFINED=40,,,,,,,0,0,0
F1_VS_F2_ERROR_CONTEXT,F1,F2,Final Behavioral Pass Rate,0,40,METRIC_UNDEFINED=40,,,,,,,0,0,0
F1_VS_F2_ERROR_CONTEXT,F1,F2,Input Match Rate,0,40,METRIC_UNDEFINED=40,,,,,,,0,0,0
F1_VS_F2_ERROR_CONTEXT,F1,F2,Counterexample Detection Rate,40,0,,0.0,0.0,0.0,,0.0,0.0,0,40,0
F1_VS_F2_ERROR_CONTEXT,F1,F2,Canonical E2E Rate,40,0,,0.1,0.0,0.1,,0.025,0.2,4,36,0
F1_VS_F2_ERROR_CONTEXT,F1,F2,Re-executability Rate,40,0,,0.1,0.0,0.1,,0.025,0.2,4,36,0
F1_VS_F2_ERROR_CONTEXT,F1,F2,Flow-specific Recovery Rate,40,0,,0.1,0.0,0.1,,0.025,0.2,4,36,0
F1_VS_F2_ERROR_CONTEXT,F1,F2,Compile Repair Rounds,40,0,,0.0,0.0,0.0,,0.0,0.0,0,40,0
F1_VS_F2_ERROR_CONTEXT,F1,F2,Behavioral Repair Rounds,40,0,,0.0,0.0,0.0,,0.0,0.0,0,40,0
F1_VS_F2_ERROR_CONTEXT,F1,F2,LLM Calls,40,0,,4.75,1.0,3.75,375.0,3.475,3.975,0,0,40
