experiment_id,sample_id,raw_ir_path,clean_ir_path,brightened_intermediate_path,llvm_verify_attempted,llvm_verify_success,llvm_verify_error,raw_instruction_count,clean_instruction_count,instruction_reduction_percent,raw_basic_block_count,clean_basic_block_count,basic_block_reduction_percent,raw_conditional_branch_count,clean_conditional_branch_count,conditional_branch_reduction_percent
experiment_20260821_120308,p00001,/home/dungbv/clau/result/eval_20260821_120308/p00001/p00001.ll,/home/dungbv/clau/result/eval_20260821_120308/p00001/p00001_final.ll,/home/dungbv/clau/result/eval_20260821_120308/p00001/p00001_brightened.ll,True,True,,3139,819,73.90888818094935,141,65,53.90070921985816,63,4,93.65079365079364
experiment_20260821_120308,p00008,/home/dungbv/clau/result/eval_20260821_120308/p00008/p00008.ll,/home/dungbv/clau/result/eval_20260821_120308/p00008/p00008_final.ll,/home/dungbv/clau/result/eval_20260821_120308/p00008/p00008_brightened.ll,True,True,,3614,2604,27.946873270614276,180,82,54.44444444444444,86,2,97.67441860465115
experiment_20260821_120308,p00033,/home/dungbv/clau/result/eval_20260821_120308/p00033/p00033.ll,/home/dungbv/clau/result/eval_20260821_120308/p00033/p00033_final.ll,/home/dungbv/clau/result/eval_20260821_120308/p00033/p00033_brightened.ll,True,True,,4099,1237,69.82190778238595,208,99,52.40384615384615,99,3,96.96969696969697
experiment_20260821_120308,p00165,/home/dungbv/clau/result/eval_20260821_120308/p00165/p00165.ll,/home/dungbv/clau/result/eval_20260821_120308/p00165/p00165_final.ll,/home/dungbv/clau/result/eval_20260821_120308/p00165/p00165_brightened.ll,True,True,,2313,1698,26.588845654993516,128,58,54.6875,60,2,96.66666666666667
experiment_20260821_120308,p00327,/home/dungbv/clau/result/eval_20260821_120308/p00327/p00327.ll,/home/dungbv/clau/result/eval_20260821_120308/p00327/p00327_final.ll,/home/dungbv/clau/result/eval_20260821_120308/p00327/p00327_brightened.ll,True,True,,3741,1936,48.24913124832933,166,77,53.6144578313253,79,2,97.46835443037975
experiment_20260821_120308,p00678,/home/dungbv/clau/result/eval_20260821_120308/p00678/p00678.ll,/home/dungbv/clau/result/eval_20260821_120308/p00678/p00678_final.ll,/home/dungbv/clau/result/eval_20260821_120308/p00678/p00678_brightened.ll,True,True,,3083,1431,53.58417126175803,161,90,44.099378881987576,78,18,76.92307692307693
experiment_20260821_120308,p00693,/home/dungbv/clau/result/eval_20260821_120308/p00693/p00693.ll,/home/dungbv/clau/result/eval_20260821_120308/p00693/p00693_final.ll,/home/dungbv/clau/result/eval_20260821_120308/p00693/p00693_brightened.ll,True,True,,3887,1910,50.861847182917415,196,93,52.55102040816326,93,3,96.7741935483871
experiment_20260821_120308,p00788,/home/dungbv/clau/result/eval_20260821_120308/p00788/p00788.ll,/home/dungbv/clau/result/eval_20260821_120308/p00788/p00788_final.ll,/home/dungbv/clau/result/eval_20260821_120308/p00788/p00788_brightened.ll,True,True,,2815,909,67.70870337477798,152,78,48.68421052631579,70,13,81.42857142857143
experiment_20260821_120308,p00793,/home/dungbv/clau/result/eval_20260821_120308/p00793/p00793.ll,/home/dungbv/clau/result/eval_20260821_120308/p00793/p00793_final.ll,/home/dungbv/clau/result/eval_20260821_120308/p00793/p00793_brightened.ll,True,True,,3671,5830,-58.81231272132934,159,114,28.30188679245283,76,39,48.68421052631579
experiment_20260821_120308,p00859,/home/dungbv/clau/result/eval_20260821_120308/p00859/p00859.ll,/home/dungbv/clau/result/eval_20260821_120308/p00859/p00859_final.ll,/home/dungbv/clau/result/eval_20260821_120308/p00859/p00859_brightened.ll,True,True,,4458,1875,57.940780619111706,212,111,47.64150943396226,97,5,94.84536082474226
