flow_id,artifact_flow_id,flow_name,derived_from_flow_id,independent_run,error_context_enabled,sample_count,eligible_sample_count,excluded_invalid_sample_count,initial_candidate_count,first_compile_success_count,first_pass_rsr_percent,first_pass_rsr_ci_low,first_pass_rsr_ci_high,compile_success_within_budget_count,final_rsr_percent,final_rsr_ci_low,final_rsr_ci_high,compilation_repair_gain_pp,compile_repair_case_count,compile_repair_success_count,compilation_repair_success_rate_percent,compile_repair_budget_exhausted_count,completed_behavioral_validation_count,behavioral_pass_count,program_behavioral_pass_rate_percent,program_behavioral_pass_rate_ci_low,program_behavioral_pass_rate_ci_high,initial_behavioral_validation_count,initial_behavioral_pass_count,initial_behavioral_pass_rate_percent,final_behavioral_pass_rate_percent,input_match_macro_percent,input_match_micro_percent,input_match_median_percent,counterexample_sample_count,counterexample_detection_rate_percent,counterexample_ever_detected_count,counterexample_ever_detected_rate_percent,final_counterexample_rate_percent,behavioral_repair_case_count,behavioral_repair_success_count,semantic_repair_success_rate_percent,behavioral_repair_gain_pp,behavioral_repair_budget_exhausted_count,canonical_e2e_success_count,canonical_e2e_rate_percent,canonical_e2e_ci_low,canonical_e2e_ci_high,re_executability_success_count,re_executability_rate_percent,re_executability_ci_low,re_executability_ci_high,flow_specific_recovery_success_count,flow_specific_recovery_rate_percent,fuzz_generated_count,fuzz_executed_on_both_count,fuzz_valid_count,valid_input_rate_percent,executable_pair_execution_rate_percent,counterexample_replay_count,counterexample_replay_success_count,counterexample_reproducibility_rate_percent,inconclusive_count,inconclusive_rate_percent,mean_llm_calls,mean_tokens,mean_runtime_seconds,mean_estimated_api_cost,tokens_per_behavioral_pass,tokens_per_e2e_success,runtime_per_behavioral_pass_seconds,runtime_per_e2e_success_seconds,llm_calls_per_successful_recovery,compile_repair_rounds_n,compile_repair_rounds_mean,compile_repair_rounds_median,compile_repair_rounds_stddev,compile_repair_rounds_min,compile_repair_rounds_p25,compile_repair_rounds_p75,compile_repair_rounds_max,compile_repair_rounds_bootstrap_ci_low,compile_repair_rounds_bootstrap_ci_high,behavioral_repair_rounds_n,behavioral_repair_rounds_mean,behavioral_repair_rounds_median,behavioral_repair_rounds_stddev,behavioral_repair_rounds_min,behavioral_repair_rounds_p25,behavioral_repair_rounds_p75,behavioral_repair_rounds_max,behavioral_repair_rounds_bootstrap_ci_low,behavioral_repair_rounds_bootstrap_ci_high,compiler_attempts_n,compiler_attempts_mean,compiler_attempts_median,compiler_attempts_stddev,compiler_attempts_min,compiler_attempts_p25,compiler_attempts_p75,compiler_attempts_max,compiler_attempts_bootstrap_ci_low,compiler_attempts_bootstrap_ci_high,total_tokens_n,total_tokens_mean,total_tokens_median,total_tokens_stddev,total_tokens_min,total_tokens_p25,total_tokens_p75,total_tokens_max,total_tokens_bootstrap_ci_low,total_tokens_bootstrap_ci_high,total_runtime_seconds_n,total_runtime_seconds_mean,total_runtime_seconds_median,total_runtime_seconds_stddev,total_runtime_seconds_min,total_runtime_seconds_p25,total_runtime_seconds_p75,total_runtime_seconds_max,total_runtime_seconds_bootstrap_ci_low,total_runtime_seconds_bootstrap_ci_high,input_match_percent_n,input_match_percent_mean,input_match_percent_median,input_match_percent_stddev,input_match_percent_min,input_match_percent_p25,input_match_percent_p75,input_match_percent_max,input_match_percent_bootstrap_ci_low,input_match_percent_bootstrap_ci_high
B1,B1,GHIDRA_PSEUDOCODE_ONESHOT,,True,False,40,40,0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0,0,,0,0,0,,,,0,0,,,,,,0,,0,,,0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,,,0,0,,0,0.0,1.0,34603.2,15.100709599256515,,,,,,,0,,,,,,,,,,0,,,,,,,,,,40,0.025,0.0,0.15811388300841897,0.0,0.0,0.0,1.0,0.0,0.075,40,34603.2,23458.5,20964.63219904002,17033.0,20457.0,49430.25,115017.0,28577.4,41307.75,40,15.100709599256515,13.487802028656006,6.014915061252631,9.251410484313965,11.823071300983429,15.256825625896454,39.58592200279236,13.463995796442031,17.10423015356064,0,,,,,,,,,
B2,B2,OBJDUMP_ASSEMBLY_ONESHOT,,True,False,40,40,0,15,13,86.66666666666667,66.66666666666667,100.0,13,86.66666666666667,66.66666666666667,100.0,,0,0,,0,13,3,23.076923076923077,0.0,46.15384615384615,13,3,23.076923076923077,23.076923076923077,27.647031647031646,29.940019993335554,0.0,10,76.92307692307693,10,76.92307692307693,76.92307692307693,0,0,,,0,3,7.5,0.0,17.5,13,32.5,17.5,47.5,3,7.5,13014,12005,12004,92.23912709389887,92.24681112647917,136,136,100.0,0,0.0,1.0,63591.025,29.509803193807603,,847880.3333333334,847880.3333333334,393.4640425841014,393.4640425841014,13.333333333333334,0,,,,,,,,,,0,,,,,,,,,,40,0.375,0.0,0.49029033784546006,0.0,0.0,1.0,1.0,0.225,0.525,40,63591.025,38228.0,48589.40727417622,22141.0,31371.0,94606.25,253684.0,49680.25,78990.45,40,29.509803193807603,15.893329501152039,52.43663940080155,8.295599222183228,14.224492728710175,22.73835176229477,310.2751898765564,17.46533625125885,47.993700271844865,13,27.647031647031646,0.0,43.29892381726988,0.0,0.0,48.0,100.0,7.203511203511203,50.723954723954726
F1,F1,FULL,,True,True,40,40,0,4,4,100.0,100.0,100.0,4,100.0,100.0,100.0,0.0,0,0,,0,4,4,100.0,100.0,100.0,4,4,100.0,100.0,100.0,100.0,100.0,0,0.0,0,0.0,0.0,0,0,,0.0,0,4,10.0,2.5,20.0,4,10.0,2.5,20.0,4,10.0,4005,4000,4000,99.87515605493134,99.87515605493134,0,0,,0,0.0,4.75,1148439.9,78.13660888671875,,11484399.0,11484399.0,781.3660888671875,781.3660888671875,47.5,0,,,,,,,,,,0,,,,,,,,,,40,0.1,0.0,0.3038218101251,0.0,0.0,0.0,1.0,0.025,0.2,40,1148439.9,791584.5,931818.4234916708,48216.0,489688.75,1386457.0,3526582.0,877508.475,1424495.35,40,78.13660888671875,71.6524600982666,23.519001493915702,44.55872917175293,59.502809166908264,89.25385355949402,127.59539699554443,70.9325453698635,85.38141983151436,4,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0
F2,F2,NO_ERROR_CONTEXT,,True,False,40,40,0,0,0,,,,0,,,,,0,0,,0,0,0,,,,0,0,,,,,,0,,0,,,0,0,,,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,,,0,0,,0,0.0,1.0,231925.9,16.44454265832901,,,,,,,0,,,,,,,,,,0,,,,,,,,,,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,231925.9,158100.5,183947.095140298,24180.0,98017.0,277078.0,705102.0,178283.775,286588.15,40,16.44454265832901,13.443459749221802,8.46962474735724,8.860621929168701,11.593372523784637,17.193186938762665,55.05565524101257,14.104606235027314,19.314543932676315,0,,,,,,,,,
F3,F3,NO_PSEUDOCODE,,True,True,40,40,0,6,6,100.0,100.0,100.0,6,100.0,100.0,100.0,0.0,0,0,,0,6,3,50.0,16.666666666666668,83.33333333333333,6,3,50.0,50.0,62.57458210422812,76.59661293613547,87.65,3,50.0,3,50.0,50.0,3,0,0.0,0.0,3,3,7.5,0.0,17.5,6,15.0,5.0,27.5,3,7.5,6011,6000,4901,81.53385459990018,99.81700216270171,42,42,100.0,0,0.0,4.925,755005.55,81.16040336489678,,10066740.666666666,10066740.666666666,1082.138711531957,1082.138711531957,65.66666666666667,0,,,,,,,,,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.15,0.0,0.3616202853397895,0.0,0.0,0.0,1.0,0.05,0.275,40,755005.55,540150.0,577616.997727287,85610.0,310617.75,933500.0,2191650.0,585714.475,931009.85,40,81.16040336489678,73.23970007896423,23.05459575869755,53.847057819366455,64.46737498044968,89.57482069730759,139.49716544151306,74.12235006690025,88.17547862529754,6,62.57458210422812,87.65,49.34904619333958,0.0,18.93561946902655,100.0,100.0,29.216666666666665,95.88333333333333
