sample_id,flow_id,status,llm_calls,compiler_attempts,compile_success_first,compile_success_final,compile_repair_rounds,behavioral_repair_rounds,fuzz_total,fuzz_matches,input_tokens,output_tokens,total_runtime
h00034,B3,PASS,2,2,True,True,0,1,1000,1000,79980,1112,67.96845936775208
h00035,B2,FAIL_BEHAVIORAL,1,1,True,True,0,0,1000,703,14710,472,7.8545753955841064
h00035,B3,PASS,3,3,True,True,0,2,1000,1000,75640,1432,50.52299118041992
h00036,B2,FAIL_BEHAVIORAL,1,1,True,True,0,0,1000,0,10956,218,8.645985126495361
h00036,B3,PASS,2,2,True,True,0,1,1000,1000,26555,416,16.10440230369568
h00037,B2,FAIL_BEHAVIORAL,1,1,True,True,0,0,1000,0,10838,298,7.275057554244995
h00037,B3,FAIL_BEHAVIORAL,5,5,True,True,0,5,1000,0,156091,1835,152.8255455493927
h00038,B2,FAIL_BEHAVIORAL,1,1,True,True,0,0,1000,995,17300,506,9.43662166595459
h00038,B3,PASS,2,2,True,True,0,1,1000,1000,49861,959,29.815192937850952
h00039,B2,FAIL_BEHAVIORAL,1,1,True,True,0,0,1000,0,17417,292,13.801743268966675
h00039,B3,PASS,2,2,True,True,0,1,1000,1000,71370,654,75.35069108009338
h00040,B2,FAIL_BEHAVIORAL,1,1,True,True,0,0,1000,0,18733,571,9.793098211288452
h00040,B3,PASS,2,2,True,True,0,1,1000,1000,46155,1157,24.806148529052734
