sample_id,flow_id,status,llm_calls,compiler_attempts,compile_success_first,compile_success_final,compile_repair_rounds,behavioral_repair_rounds,fuzz_total,fuzz_matches,input_tokens,output_tokens,total_runtime
p04028,B1,INCONCLUSIVE,1,0,False,False,0,0,0,0,20685,322,14.344232586001453
p04028,B2,FAIL_COMPILE,1,0,False,False,0,0,0,0,37959,328,12.701568365097046
p04028,FL1,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p04028,FL2,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p04028,FL3,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p00001,B1,INCONCLUSIVE,1,0,False,False,0,0,0,0,18729,323,15.168560688005527
p00001,B2,FAIL_BEHAVIORAL,1,1,True,True,0,0,1000,0,23316,367,7.258513689041138
p00001,FL1,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p00001,FL2,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p00001,FL3,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p02814,B1,INCONCLUSIVE,1,0,False,False,0,0,0,0,23312,328,18.715736458005267
p02814,B2,FAIL_COMPILE,1,0,False,False,0,0,0,0,31358,324,13.04994249343872
p02814,FL1,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p02814,FL2,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p02814,FL3,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p03510,B1,INCONCLUSIVE,1,0,False,False,0,0,0,0,22940,328,20.103342807000445
p03510,B2,FAIL_COMPILE,1,0,False,False,0,0,0,0,37897,323,14.330538272857666
p03510,FL1,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p03510,FL2,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p03510,FL3,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p00788,B1,INCONCLUSIVE,1,0,False,False,0,0,0,0,17092,951,19.583484882998164
p00788,B2,FAIL_COMPILE,1,0,False,False,0,0,0,0,26699,320,10.421450853347778
p00788,FL1,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p00788,FL2,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p00788,FL3,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p03430,B1,INCONCLUSIVE,1,0,False,False,0,0,0,0,17458,4847,17.78987563800183
p03430,B2,FAIL_COMPILE,1,0,False,False,0,0,0,0,37855,314,14.631940603256226
p03430,FL1,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p03430,FL2,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p03430,FL3,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p00678,B1,INCONCLUSIVE,1,0,False,False,0,0,0,0,18543,324,15.56694701500237
p00678,B2,FAIL_BEHAVIORAL,1,1,True,True,0,0,1000,47,23820,636,11.029330253601074
p00678,FL1,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p00678,FL2,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p00678,FL3,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p00033,B1,INCONCLUSIVE,1,0,False,False,0,0,0,0,21456,324,16.05893258400465
p00033,B2,FAIL_BEHAVIORAL,1,1,True,True,0,0,10,0,36852,553,18.271803379058838
p00033,FL1,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p00033,FL2,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p00033,FL3,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p01315,B1,INCONCLUSIVE,1,0,False,False,0,0,0,0,21130,326,17.251369808000163
p01315,B2,FAIL_BEHAVIORAL,1,1,True,True,0,0,1000,0,32339,431,11.67920994758606
p01315,FL1,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p01315,FL2,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p01315,FL3,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p02950,B1,INCONCLUSIVE,1,0,False,False,0,0,0,0,23508,318,17.761831848998554
p02950,B2,FAIL_COMPILE,1,0,False,False,0,0,0,0,41601,321,12.968329906463623
p02950,FL1,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p02950,FL2,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p02950,FL3,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p00693,B1,INCONCLUSIVE,1,0,False,False,0,0,0,0,21472,320,19.03298288299993
p00693,B2,FAIL_BEHAVIORAL,1,1,True,True,0,0,1000,999,33871,560,13.915505409240723
p00693,FL1,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p00693,FL2,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p00693,FL3,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p00008,B1,INCONCLUSIVE,1,0,False,False,0,0,0,0,20597,327,19.675017787005345
p00008,B2,FAIL_COMPILE,1,0,False,False,0,0,0,0,35613,327,9.690397024154663
p00008,FL1,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p00008,FL2,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
p00008,FL3,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
