contrast_id,flow_a,flow_b,metric_name,paired_sample_count,excluded_sample_count,exclusion_reasons,flow_a_value,flow_b_value,absolute_difference,relative_difference_percent,ci_95_low,ci_95_high,flow_a_wins,ties,flow_b_wins
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,First-pass RSR,37,3,METRIC_UNDEFINED=3,1.0,1.0,0.0,0.0,0.0,0.0,0,37,0
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,Final RSR,37,3,METRIC_UNDEFINED=3,1.0,1.0,0.0,0.0,0.0,0.0,0,37,0
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,Program Behavioral Pass Rate,37,3,METRIC_UNDEFINED=3,0.9459459459459459,0.7027027027027027,0.2432432432432432,34.615384615384606,0.10810810810810811,0.40540540540540543,9,28,0
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,Initial Behavioral Pass Rate,37,3,METRIC_UNDEFINED=3,0.6756756756756757,0.2972972972972973,0.37837837837837834,127.27272727272725,0.21621621621621623,0.5405405405405406,15,21,1
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,Final Behavioral Pass Rate,37,3,METRIC_UNDEFINED=3,0.9459459459459459,0.7027027027027027,0.2432432432432432,34.615384615384606,0.10810810810810811,0.40540540540540543,9,28,0
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,Input Match Rate,37,3,METRIC_UNDEFINED=3,96.01064813103116,80.6311141902886,15.379533940742562,19.073944463234156,3.2475789606937147,28.56554297484549,10,26,1
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,Counterexample Detection Rate,40,0,,0.075,0.3,-0.22499999999999998,-75.0,-0.375,-0.075,10,29,1
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,Canonical E2E Rate,40,0,,0.9,0.65,0.25,38.46153846153846,0.125,0.4,10,30,0
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,Re-executability Rate,40,0,,0.975,0.95,0.025000000000000022,2.631578947368424,-0.05,0.125,2,37,1
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,Flow-specific Recovery Rate,40,0,,0.9,0.65,0.25,38.46153846153846,0.125,0.4,10,30,0
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,Compile Repair Rounds,40,0,,0.0,0.0,0.0,,0.0,0.0,0,40,0
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,Behavioral Repair Rounds,40,0,,0.35,0.9,-0.55,-61.111111111111114,-0.8,-0.3,20,17,3
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,LLM Calls,40,0,,1.875,3.5,-1.625,-46.42857142857143,-2.15,-1.1,26,13,1
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,Tokens,40,0,,266027.075,1335857.075,-1069830.0,-80.08566335586463,-1337941.6,-824184.75,39,0,1
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,Runtime,40,0,,151.56547097563742,360.4297485947609,-208.86427761912347,-57.94867888498132,-272.4455846011639,-150.46303808689117,36,0,4
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,Cost,0,40,METRIC_UNDEFINED=40,,,,,,,0,0,0
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,Readability,26,14,METRIC_UNDEFINED=14,4.069230769230769,4.484615384615385,-0.4153846153846157,-9.262435677530023,-0.6230769230769232,-0.2153846153846155,2,7,17
F1_VS_F2_CLEAN_IR_VS_RAW_IR,F1,F2,SLOC Ratio,37,3,METRIC_UNDEFINED=3,0.9513098234918826,0.8720818325249924,0.07922799096689026,9.084926208988502,-0.006131167279984773,0.16225158197835277,10,3,24
F1_VS_F3_ITERATIVE_VS_ONESHOT,F1,F3,First-pass RSR,35,5,METRIC_UNDEFINED=5,1.0,1.0,0.0,0.0,0.0,0.0,0,35,0
