flow_id,completed_behavioral_validation_count,behavioral_pass_count,program_behavioral_pass_rate_percent,initial_behavioral_validation_count,initial_behavioral_pass_count,initial_behavioral_pass_rate_percent,final_behavioral_pass_rate_percent,input_match_macro_percent,input_match_micro_percent,input_match_median_percent,input_match_percent_bootstrap_ci_low,input_match_percent_bootstrap_ci_high,counterexample_sample_count,counterexample_detection_rate_percent,counterexample_ever_detected_rate_percent,final_counterexample_rate_percent
B1,4,4,100.0,4,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0,0.0,0.0,0.0
B2,33,7,21.21212121212121,33,7,21.21212121212121,21.21212121212121,31.67362105261066,32.19399538106236,0.1,17.499810547171936,46.771638897989895,26,78.78787878787878,78.78787878787878,78.78787878787878
F1,39,36,92.3076923076923,39,26,66.66666666666666,92.3076923076923,93.6511277140552,96.40434552199258,100.0,85.95882002174751,100.0,3,7.6923076923076925,33.33333333333333,7.6923076923076925
F2,38,26,68.42105263157895,38,11,28.947368421052634,68.42105263157895,78.81187434317573,81.38657355260193,100.0,66.42723525681674,90.46683101195612,12,31.57894736842105,71.05263157894737,31.57894736842105
F3,35,23,65.71428571428571,35,23,65.71428571428571,65.71428571428571,83.81577626057064,87.60467441569804,100.0,72.66571428571429,93.06452786932225,12,34.285714285714285,34.285714285714285,34.285714285714285
