schema_version,experiment_id,run_id,sample_id,flow_id,artifact_flow_id,repeat_id,benchmark_name,record_type,attempt_index,generation_iteration,candidate_index,attempt_variant,model,model_version,temperature,top_p,max_tokens,input_tokens,output_tokens,total_tokens,estimated_cost,latency_seconds,prompt_path,response_path,candidate_source_path,candidate_source_hash,finish_reason,metadata_path,provenance,compile_command,compiler_version,compile_exit_code,compile_success,link_success,executable_created,executable_path,executable_hash,compile_time,diagnostics_path,failure_category,is_compile_repair_attempt
2.0,experiment_20260821_162746,c66e746008ffc3cdde51,p00001,B1,B1,0,s092364643,llm_attempt,1,1,,primary,ag/gemini-3-flash-agent,gemini-default,0.05,0.9,65535,14374,7496,21870,,12.061975479125977,/home/dungbv/clau/result/eval_20260821_162746/p00001/B1/recovery_iter1.prompt.txt,/home/dungbv/clau/result/eval_20260821_162746/p00001/B1/recovery_iter1.response.txt,,,STOP,/home/dungbv/clau/result/eval_20260821_162746/p00001/B1/recovery_iter1.meta.json,recorded_metadata,,,,,,,,,,,,
2.0,experiment_20260821_162746,8065ee35013ff8b04cb6,p00001,B2,B2,0,s092364643,llm_attempt,1,1,1,primary,ag/gemini-3-flash-agent,gemini-default,0.05,0.9,65535,23664,376,24040,,6.287950754165649,/home/dungbv/clau/result/eval_20260821_162746/p00001/B2/recovery_iter1.prompt.txt,/home/dungbv/clau/result/eval_20260821_162746/p00001/B2/recovery_iter1.response.txt,/home/dungbv/clau/result/eval_20260821_162746/p00001/B2/recovered_iter1.c,a72850e3f528d87f830e689b055509753219b7c7a27ef770dd132f682df78116,STOP,/home/dungbv/clau/result/eval_20260821_162746/p00001/B2/recovery_iter1.meta.json,recorded_metadata,,,,,,,,,,,,
2.0,experiment_20260821_162746,9c2c221bb1cd78520c89,p00001,F1,F1,0,s092364643,llm_attempt,1,1,1,primary,ag/gemini-3-flash-agent,gemini-default,0.05,0.9,65535,16394,438,16832,,12.07953691482544,/home/dungbv/clau/result/eval_20260821_162746/p00001/F1/recovery_iter1.prompt.txt,/home/dungbv/clau/result/eval_20260821_162746/p00001/F1/recovery_iter1.response.txt,/home/dungbv/clau/result/eval_20260821_162746/p00001/F1/recovered_iter1.c,fe657f872f8c24d06988ea81f804a1dba04025186d74936f484865810e405b26,STOP,/home/dungbv/clau/result/eval_20260821_162746/p00001/F1/recovery_iter1.meta.json,recorded_metadata,,,,,,,,,,,,
2.0,experiment_20260821_162746,8967ad2465faaf2a70cf,p00001,F2,F2,0,s092364643,llm_attempt,1,1,1,primary,ag/gemini-3-flash-agent,gemini-default,0.05,0.9,65535,190463,516,190979,,31.9837167263031,/home/dungbv/clau/result/eval_20260821_162746/p00001/F2/recovery_iter1.prompt.txt,/home/dungbv/clau/result/eval_20260821_162746/p00001/F2/recovery_iter1.response.txt,/home/dungbv/clau/result/eval_20260821_162746/p00001/F2/recovered_iter1.c,abe57091ad4f270ce42dc4ce24044709a3c6d9a8d7815fd9786a0429356e4c1f,STOP,/home/dungbv/clau/result/eval_20260821_162746/p00001/F2/recovery_iter1.meta.json,recorded_metadata,,,,,,,,,,,,
2.0,experiment_20260821_162746,8967ad2465faaf2a70cf,p00001,F2,F2,0,s092364643,llm_attempt,2,2,2,primary,ag/gemini-3-flash-agent,gemini-default,0.05,0.9,65535,178299,511,178810,,9.474332571029663,/home/dungbv/clau/result/eval_20260821_162746/p00001/F2/recovery_iter2.prompt.txt,/home/dungbv/clau/result/eval_20260821_162746/p00001/F2/recovery_iter2.response.txt,/home/dungbv/clau/result/eval_20260821_162746/p00001/F2/recovered_iter2.c,c577dd33370ef1c66a451ae63ee963f964f7ab4e48ce88e8e338c00de3c39bc9,STOP,/home/dungbv/clau/result/eval_20260821_162746/p00001/F2/recovery_iter2.meta.json,recorded_metadata,,,,,,,,,,,,
2.0,experiment_20260821_162746,aed746bf3fa1b860b247,p00001,F3,F3,0,s092364643,llm_attempt,1,1,1,primary,ag/gemini-3-flash-agent,gemini-default,0.05,0.9,65535,20716,783,21499,,15.785442113876343,/home/dungbv/clau/result/eval_20260821_162746/p00001/F3/recovery_iter1.prompt.txt,/home/dungbv/clau/result/eval_20260821_162746/p00001/F3/recovery_iter1.response.txt,/home/dungbv/clau/result/eval_20260821_162746/p00001/F3/recovered_iter1.c,b4863f54e163acbe8fb21baf23c42e57e91eafd4aad29c3101acd17ab01627ce,STOP,/home/dungbv/clau/result/eval_20260821_162746/p00001/F3/recovery_iter1.meta.json,recorded_metadata,,,,,,,,,,,,
2.0,experiment_20260821_162746,b5025fb4f55ac27043fa,p00008,B1,B1,0,s771404612,llm_attempt,1,1,,primary,ag/gemini-3-flash-agent,gemini-default,0.05,0.9,65535,36164,9772,45936,,36.93135643005371,/home/dungbv/clau/result/eval_20260821_162746/p00008/B1/recovery_iter1.prompt.txt,/home/dungbv/clau/result/eval_20260821_162746/p00008/B1/recovery_iter1.response.txt,,,STOP,/home/dungbv/clau/result/eval_20260821_162746/p00008/B1/recovery_iter1.meta.json,recorded_metadata,,,,,,,,,,,,
2.0,experiment_20260821_162746,50de0312a30ad1f25025,p00008,B2,B2,0,s771404612,llm_attempt,1,1,1,primary,ag/gemini-3-flash-agent,gemini-default,0.05,0.9,65535,37879,366,38245,,15.31130838394165,/home/dungbv/clau/result/eval_20260821_162746/p00008/B2/recovery_iter1.prompt.txt,/home/dungbv/clau/result/eval_20260821_162746/p00008/B2/recovery_iter1.response.txt,/home/dungbv/clau/result/eval_20260821_162746/p00008/B2/recovered_iter1.c,8e9fe7e72d87f904af18811a819d8037d9eea1860d61bdf640d8561bdb0e5b7b,STOP,/home/dungbv/clau/result/eval_20260821_162746/p00008/B2/recovery_iter1.meta.json,recorded_metadata,,,,,,,,,,,,
2.0,experiment_20260821_162746,67ba3eec5f097cc85d9d,p00008,F1,F1,0,s771404612,llm_attempt,1,1,1,primary,ag/gemini-3-flash-agent,gemini-default,0.05,0.9,65535,50554,173,50727,,19.27161455154419,/home/dungbv/clau/result/eval_20260821_162746/p00008/F1/recovery_iter1.prompt.txt,/home/dungbv/clau/result/eval_20260821_162746/p00008/F1/recovery_iter1.response.txt,/home/dungbv/clau/result/eval_20260821_162746/p00008/F1/recovered_iter1.c,ef989021db976e8039966a0e84653c6a3b3f4274e58e5a2247d04dc36bc851eb,STOP,/home/dungbv/clau/result/eval_20260821_162746/p00008/F1/recovery_iter1.meta.json,recorded_metadata,,,,,,,,,,,,
2.0,experiment_20260821_162746,3792aeb2c708a1c10e6b,p00008,F2,F2,0,s771404612,llm_attempt,1,1,,primary,ag/gemini-3-flash-agent,gemini-default,0.05,0.9,65535,247664,1,247665,,68.19763278961182,/home/dungbv/clau/result/eval_20260821_162746/p00008/F2/recovery_iter1.prompt.txt,/home/dungbv/clau/result/eval_20260821_162746/p00008/F2/recovery_iter1.response.txt,,,STOP,/home/dungbv/clau/result/eval_20260821_162746/p00008/F2/recovery_iter1.meta.json,recorded_metadata,,,,,,,,,,,,
