flow_id,taxonomy,category,count
B1,FINAL_STATUS,FAIL_GENERATION,36
B1,FINAL_STATUS,PASS,4
B2,FINAL_STATUS,FAIL_BEHAVIORAL,26
B2,FINAL_STATUS,FAIL_COMPILE,4
B2,FINAL_STATUS,FAIL_GENERATION,3
B2,FINAL_STATUS,PASS,7
B2,COMPILE_FAILURE,MISSING_HEADER,4
B2,BEHAVIORAL_DIVERGENCE,MIXED_DIVERGENCE,4
B2,BEHAVIORAL_DIVERGENCE,OUTPUT_MISMATCH,22
F1,FINAL_STATUS,FAIL_BEHAVIORAL,3
F1,FINAL_STATUS,FAIL_GENERATION,1
F1,FINAL_STATUS,PASS,36
F1,BEHAVIORAL_DIVERGENCE,MIXED_DIVERGENCE,4
F1,BEHAVIORAL_DIVERGENCE,OUTPUT_MISMATCH,9
F2,FINAL_STATUS,FAIL_BEHAVIORAL,12
F2,FINAL_STATUS,FAIL_GENERATION,2
F2,FINAL_STATUS,PASS,26
F2,COMPILE_FAILURE,UNDECLARED_SYMBOL,1
F2,BEHAVIORAL_DIVERGENCE,MIXED_DIVERGENCE,5
F2,BEHAVIORAL_DIVERGENCE,OUTPUT_MISMATCH,22
F3,FINAL_STATUS,FAIL_BEHAVIORAL,12
F3,FINAL_STATUS,FAIL_GENERATION,5
F3,FINAL_STATUS,PASS,23
F3,BEHAVIORAL_DIVERGENCE,CRASH_MISMATCH,1
F3,BEHAVIORAL_DIVERGENCE,MIXED_DIVERGENCE,3
F3,BEHAVIORAL_DIVERGENCE,OUTPUT_MISMATCH,8
