flow_id,eligible_sample_count,initial_candidate_count,first_compile_success_count,first_pass_rsr_percent,first_pass_rsr_ci_low,first_pass_rsr_ci_high,compile_success_within_budget_count,final_rsr_percent,final_rsr_ci_low,final_rsr_ci_high,compilation_repair_gain_pp,compile_repair_case_count,compile_repair_success_count,compilation_repair_success_rate_percent,compile_repair_budget_exhausted_count,compile_repair_rounds_mean,compile_repair_rounds_median,compile_repair_rounds_stddev,compile_repair_rounds_min,compile_repair_rounds_p25,compile_repair_rounds_p75,compile_repair_rounds_max,compiler_attempts_mean
B1,40,4,4,100.0,100.0,100.0,4,100.0,100.0,100.0,,0,0,,0,,,,,,,,0.1
B2,40,37,33,89.1891891891892,78.37837837837837,97.29729729729729,33,89.1891891891892,78.37837837837837,97.29729729729729,,0,0,,0,,,,,,,,0.925
F1,40,39,39,100.0,100.0,100.0,39,100.0,100.0,100.0,0.0,0,0,,0,,,,,,,,1.325
F2,40,38,38,100.0,100.0,100.0,38,100.0,100.0,100.0,0.0,0,0,,0,,,,,,,,1.875
F3,40,35,35,100.0,100.0,100.0,35,100.0,100.0,100.0,,0,0,,0,,,,,,,,0.875
