experiment_id,sample_id,flow_id,repeat_id,llm_calls,input_tokens,output_tokens,total_tokens,estimated_api_cost,llm_latency,preprocessing_time,compile_time,fuzzing_time,total_runtime,time_to_first_candidate,time_to_first_compilable_candidate,time_to_first_behavioral_pass_candidate,compiler_attempts,compile_repair_rounds,behavioral_repair_rounds,counterexamples_used,peak_memory,cpu_time
experiment_20260821_162746,p00693,F2,0,2,479507,1513,481020,,111.99469041824341,,0.1410837173461914,3.198639392852783,115.37362384796143,,,,2,0,1,1,,
experiment_20260821_162746,p00693,F3,0,1,63314,672,63986,,22.4255313873291,,0.06385970115661621,1.8758158683776855,24.383121013641357,,,,1,0,0,0,,
experiment_20260821_162746,p00788,B1,0,1,22305,6658,28963,,21.46605134010315,,0.0,0.0,21.47368335723877,,,,0,0,0,0,,
experiment_20260821_162746,p00788,B2,0,1,32283,321,32604,,22.67645001411438,,0.058634281158447266,3.4139978885650635,26.165995597839355,,,,1,0,0,0,,
experiment_20260821_162746,p00788,F1,0,1,52369,490,52859,,30.541985273361206,,0.05694937705993652,1.8133931159973145,32.43253564834595,,,,1,0,0,0,,
experiment_20260821_162746,p00788,F2,0,3,612673,3605,616278,,176.21616172790527,,0.1452653408050537,4.756030797958374,181.16118955612183,,,,2,0,1,7,,
experiment_20260821_162746,p00788,F3,0,1,50952,564,51516,,29.851260900497437,,0.05764484405517578,1.811601161956787,31.73727798461914,,,,1,0,0,0,,
experiment_20260821_162746,p00793,B1,0,1,26273,2236,28509,,23.601393938064575,,0.41171717643737793,8.50966739654541,32.60244035720825,,,,1,0,0,0,,
experiment_20260821_162746,p00793,B2,0,1,32654,1018,33672,,19.49361562728882,,0.09477090835571289,0.0,19.638634204864502,,,,1,0,0,0,,
experiment_20260821_162746,p00793,F1,0,2,376574,2204,378778,,184.6815152168274,,0.5139687061309814,12.103846788406372,197.4249083995819,,,,2,0,1,7,,
experiment_20260821_162746,p00793,F2,0,3,768271,4526,772797,,217.26813340187073,,0.443950891494751,11.757319927215576,229.5755798816681,,,,3,0,2,7,,
experiment_20260821_162746,p00793,F3,0,1,185239,1706,186945,,73.5580825805664,,0.5206146240234375,10.317788124084473,84.48417592048645,,,,1,0,0,0,,
experiment_20260821_162746,p00859,B1,0,1,44329,10822,55151,,38.98414659500122,,0.0,0.0,39.028586626052856,,,,0,0,0,0,,
experiment_20260821_162746,p00859,B2,0,1,30930,722,31652,,6.209148168563843,,0.07316470146179199,2.4750514030456543,8.775390625,,,,1,0,0,0,,
experiment_20260821_162746,p00859,F1,0,1,53844,775,54619,,30.41288471221924,,0.07333064079284668,1.4577715396881104,31.96179509162903,,,,1,0,0,0,,
experiment_20260821_162746,p00859,F2,0,3,799702,5242,804944,,213.70039677619934,,0.5499448776245117,19.991549730300903,234.4454424381256,,,,2,0,1,7,,
experiment_20260821_162746,p00859,F3,0,1,50120,1004,51124,,25.273152828216553,,0.0718088150024414,1.4831407070159912,26.846150875091553,,,,1,0,0,0,,
experiment_20260821_162746,p00867,B1,0,1,103581,7768,111349,,92.69166040420532,,0.0,0.0,92.69716262817383,,,,0,0,0,0,,
experiment_20260821_162746,p00867,B2,0,1,106822,941,107763,,9.91169023513794,,0.031054973602294922,0.0,9.961012363433838,,,,1,0,0,0,,
experiment_20260821_162746,p00867,F1,0,5,1326418,11306,1337724,,547.7255599498749,,0.08926773071289062,2.164214849472046,550.0171084403992,,,,1,0,0,0,,
experiment_20260821_162746,p00867,F2,0,5,3160573,10216,3170789,,544.6478974819183,,0.0,0.0,544.6693692207336,,,,0,0,0,0,,
experiment_20260821_162746,p00867,F3,0,1,261628,2560,264188,,116.98760223388672,,0.0,0.0,116.99095392227173,,,,0,0,0,0,,
