flow_id,compilation_repair_gain_pp,compile_repair_case_count,compile_repair_success_count,compilation_repair_success_rate_percent,compile_repair_budget_exhausted_count,behavioral_repair_case_count,behavioral_repair_success_count,semantic_repair_success_rate_percent,behavioral_repair_gain_pp,behavioral_repair_budget_exhausted_count,compile_repair_rounds_n,compile_repair_rounds_mean,compile_repair_rounds_median,compile_repair_rounds_stddev,compile_repair_rounds_min,compile_repair_rounds_p25,compile_repair_rounds_p75,compile_repair_rounds_max,compile_repair_rounds_bootstrap_ci_low,compile_repair_rounds_bootstrap_ci_high,behavioral_repair_rounds_n,behavioral_repair_rounds_mean,behavioral_repair_rounds_median,behavioral_repair_rounds_stddev,behavioral_repair_rounds_min,behavioral_repair_rounds_p25,behavioral_repair_rounds_p75,behavioral_repair_rounds_max,behavioral_repair_rounds_bootstrap_ci_low,behavioral_repair_rounds_bootstrap_ci_high
F1,0.0,0,0,,0,10,9,90.0,24.324324324324337,1,0,,,,,,,,,,10,1.4,1.0,0.8432740427115678,0.0,1.0,2.0,3.0,0.9,1.9
F2,,0,0,,0,0,0,,,0,0,,,,,,,,,,0,,,,,,,,,
F3,0.0,0,0,,0,12,11,91.66666666666666,29.72972972972974,1,0,,,,,,,,,,12,1.1666666666666667,1.0,0.7177405625652734,0.0,1.0,1.0,3.0,0.8333333333333334,1.5833333333333333
F4,2.5,1,1,100.0,0,19,15,78.94736842105263,37.5,4,1,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,19,1.0526315789473684,1.0,0.404651319111256,0.0,1.0,1.0,2.0,0.8947368421052632,1.2105263157894737
F5,5.26315789473685,2,2,100.0,0,24,10,41.66666666666667,26.315789473684212,14,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,24,0.8333333333333334,1.0,0.6370220572706061,0.0,0.0,1.0,2.0,0.5833333333333334,1.0833333333333333
F6,,0,0,,0,0,0,,,0,0,,,,,,,,,,0,,,,,,,,,
