experiment_id,sample_id,flow_id,repeat_id,llm_calls,input_tokens,output_tokens,total_tokens,estimated_api_cost,llm_latency,preprocessing_time,compile_time,fuzzing_time,total_runtime,time_to_first_candidate,time_to_first_compilable_candidate,time_to_first_behavioral_pass_candidate,compiler_attempts,compile_repair_rounds,behavioral_repair_rounds,counterexamples_used,peak_memory,cpu_time
experiment_20260801_182616,p00001,F1,0,1,21410,371,21781,,8.01787543296814,,0.06077837944030762,1.4531176090240479,9.579025268554688,,,,1,0,0,0,,
experiment_20260801_182616,p00001,F2,0,1,23044,376,23420,,10.187449216842651,,0.06312942504882812,1.492950201034546,11.790824890136719,,,,1,0,0,0,,
experiment_20260801_182616,p00001,F3,0,1,18031,336,18367,,10.601856231689453,,0.06219363212585449,1.5975642204284668,12.281977415084839,,,,1,0,0,0,,
experiment_20260801_182616,p00001,F4,0,1,18906,468,19374,,13.705228805541992,,0.06247448921203613,1.4946658611297607,15.306141138076782,,,,1,0,0,0,,
experiment_20260801_182616,p00001,F5,0,1,190459,466,190925,,32.127180337905884,,0.06796932220458984,1.6285395622253418,33.84995174407959,,,,1,0,0,0,,
experiment_20260801_182616,p00008,F1,0,1,52611,2168,54779,,33.476486921310425,,0.05923032760620117,2.658165693283081,36.227508544921875,,,,1,0,0,0,,
experiment_20260801_182616,p00008,F2,0,1,41191,854,42045,,19.460502862930298,,0.061113834381103516,1.9292073249816895,21.483393669128418,,,,1,0,0,0,,
experiment_20260801_182616,p00008,F3,0,1,32341,367,32708,,22.25980520248413,,0.05520963668823242,2.0438191890716553,24.376027822494507,,,,1,0,0,0,,
experiment_20260801_182616,p00008,F4,0,1,34307,1906,36213,,30.69285559654236,,0.06763386726379395,2.3711860179901123,33.18162965774536,,,,1,0,0,0,,
experiment_20260801_182616,p00008,F5,0,5,1239650,10226,1249876,,415.25129556655884,,0.0,0.0,415.28396463394165,,,,0,0,0,0,,
experiment_20260801_182616,p00033,F1,0,1,108598,692,109290,,45.66443061828613,,0.06773138046264648,29.650839805603027,75.4232726097107,,,,1,0,0,0,,
experiment_20260801_182616,p00033,F2,0,1,105122,619,105741,,46.91014051437378,,0.27327704429626465,13.42945909500122,60.68948793411255,,,,1,0,0,0,,
experiment_20260801_182616,p00033,F3,0,2,163403,1290,164693,,73.63307547569275,,0.2438366413116455,27.75405192375183,101.69226932525635,,,,2,0,1,2,,
experiment_20260801_182616,p00033,F4,0,2,99759,1321,101080,,60.29315543174744,,0.5280804634094238,31.24406123161316,92.1941499710083,,,,2,0,1,1,,
experiment_20260801_182616,p00033,F5,0,5,1336366,7987,1344353,,414.97491693496704,,0.06870174407958984,4.7467169761657715,419.8390464782715,,,,1,0,0,0,,
experiment_20260801_182616,p00165,F1,0,1,55916,2996,58912,,47.84245705604553,,0.37128639221191406,243.16361284255981,291.5727548599243,,,,1,0,0,0,,
