experiment_id,sample_id,raw_ir_path,clean_ir_path,brightened_intermediate_path,llvm_verify_attempted,llvm_verify_success,llvm_verify_error,raw_instruction_count,clean_instruction_count,instruction_reduction_percent,raw_basic_block_count,clean_basic_block_count,basic_block_reduction_percent,raw_conditional_branch_count,clean_conditional_branch_count,conditional_branch_reduction_percent
experiment_20260801_182616,p00001,/home/dungbv/clau/result/eval_20260801_182616/p00001/p00001.ll,/home/dungbv/clau/result/eval_20260801_182616/p00001/p00001_final.ll,/home/dungbv/clau/result/eval_20260801_182616/p00001/p00001_brightened.ll,True,True,,3139,168,94.64797706275884,141,20,85.81560283687944,63,5,92.06349206349206
experiment_20260801_182616,p00008,/home/dungbv/clau/result/eval_20260801_182616/p00008/p00008.ll,/home/dungbv/clau/result/eval_20260801_182616/p00008/p00008_final.ll,/home/dungbv/clau/result/eval_20260801_182616/p00008/p00008_brightened.ll,True,True,,3614,157,95.655783065855,180,24,86.66666666666667,86,14,83.72093023255815
experiment_20260801_182616,p00033,/home/dungbv/clau/result/eval_20260801_182616/p00033/p00033.ll,/home/dungbv/clau/result/eval_20260801_182616/p00033/p00033_final.ll,/home/dungbv/clau/result/eval_20260801_182616/p00033/p00033_brightened.ll,True,True,,4099,649,84.16686996828496,208,87,58.17307692307693,99,6,93.93939393939394
experiment_20260801_182616,p00165,/home/dungbv/clau/result/eval_20260801_182616/p00165/p00165.ll,/home/dungbv/clau/result/eval_20260801_182616/p00165/p00165_final.ll,/home/dungbv/clau/result/eval_20260801_182616/p00165/p00165_brightened.ll,True,True,,2313,147,93.64461738002593,128,15,88.28125,60,10,83.33333333333334
experiment_20260801_182616,p00327,/home/dungbv/clau/result/eval_20260801_182616/p00327/p00327.ll,/home/dungbv/clau/result/eval_20260801_182616/p00327/p00327_final.ll,/home/dungbv/clau/result/eval_20260801_182616/p00327/p00327_brightened.ll,True,True,,3741,420,88.7730553327987,166,29,82.53012048192771,79,19,75.9493670886076
experiment_20260801_182616,p00678,/home/dungbv/clau/result/eval_20260801_182616/p00678/p00678.ll,/home/dungbv/clau/result/eval_20260801_182616/p00678/p00678_final.ll,/home/dungbv/clau/result/eval_20260801_182616/p00678/p00678_brightened.ll,True,True,,3083,1245,59.61725591955888,161,90,44.099378881987576,78,18,76.92307692307693
experiment_20260801_182616,p00693,/home/dungbv/clau/result/eval_20260801_182616/p00693/p00693.ll,/home/dungbv/clau/result/eval_20260801_182616/p00693/p00693_final.ll,/home/dungbv/clau/result/eval_20260801_182616/p00693/p00693_brightened.ll,True,True,,3887,563,85.51582197067147,196,30,84.6938775510204,93,19,79.56989247311827
experiment_20260801_182616,p00788,/home/dungbv/clau/result/eval_20260801_182616/p00788/p00788.ll,/home/dungbv/clau/result/eval_20260801_182616/p00788/p00788_final.ll,/home/dungbv/clau/result/eval_20260801_182616/p00788/p00788_brightened.ll,True,True,,2815,219,92.2202486678508,152,51,66.44736842105263,70,14,80.0
experiment_20260801_182616,p00793,/home/dungbv/clau/result/eval_20260801_182616/p00793/p00793.ll,/home/dungbv/clau/result/eval_20260801_182616/p00793/p00793_final.ll,/home/dungbv/clau/result/eval_20260801_182616/p00793/p00793_brightened.ll,True,True,,3671,4846,-32.00762734949605,159,114,28.30188679245283,76,42,44.73684210526316
experiment_20260801_182616,p00859,/home/dungbv/clau/result/eval_20260801_182616/p00859/p00859.ll,/home/dungbv/clau/result/eval_20260801_182616/p00859/p00859_final.ll,/home/dungbv/clau/result/eval_20260801_182616/p00859/p00859_brightened.ll,True,True,,4458,916,79.4526693584567,212,84,60.37735849056604,97,6,93.81443298969072
