sample_id,stage,instructions,blocks,branches,treatment
h00001,raw_lift,1201,117,41,F3-O2
h00001,brightened_010_095,689,44,4,F3-O2
h00001,verified_input,689,44,4,F3-O2
h00001,pointer_opt,666,44,4,F3-O2
h00001,standard_opt,594,44,4,F3-O2
h00001,storage_delift,594,44,4,F3-O2
h00001,residual_strip,594,44,4,F3-O2
h00001,final_clean,591,44,4,F3-O2
h00002,raw_lift,1212,117,41,F3-O2
h00002,brightened_010_095,222,27,2,F3-O2
h00002,verified_input,222,27,2,F3-O2
h00002,pointer_opt,222,27,2,F3-O2
h00002,standard_opt,220,27,2,F3-O2
h00002,storage_delift,220,27,2,F3-O2
h00002,residual_strip,220,27,2,F3-O2
h00002,final_clean,219,26,2,F3-O2
h00003,raw_lift,1288,127,46,F3-O2
h00003,brightened_010_095,232,34,1,F3-O2
h00003,verified_input,232,34,1,F3-O2
h00003,pointer_opt,232,34,1,F3-O2
h00003,standard_opt,231,34,1,F3-O2
h00003,storage_delift,231,34,1,F3-O2
h00003,residual_strip,231,34,1,F3-O2
h00003,final_clean,230,33,1,F3-O2
h00004,raw_lift,1478,117,37,F3-O2
h00004,brightened_010_095,1138,40,4,F3-O2
h00004,verified_input,1138,40,4,F3-O2
h00004,pointer_opt,1134,40,4,F3-O2
h00004,standard_opt,981,40,4,F3-O2
h00004,storage_delift,981,40,4,F3-O2
h00004,residual_strip,981,40,4,F3-O2
h00004,final_clean,972,40,4,F3-O2
h00005,raw_lift,1082,101,32,F3-O2
h00005,brightened_010_095,724,35,4,F3-O2
h00005,verified_input,724,35,4,F3-O2
h00005,pointer_opt,715,35,4,F3-O2
h00005,standard_opt,629,35,4,F3-O2
h00005,storage_delift,629,35,4,F3-O2
h00005,residual_strip,629,35,4,F3-O2
h00005,final_clean,625,35,4,F3-O2
h00006,raw_lift,1347,131,48,F3-O2
h00006,brightened_010_095,839,49,2,F3-O2
h00006,verified_input,839,49,2,F3-O2
h00006,pointer_opt,815,49,2,F3-O2
h00006,standard_opt,696,49,2,F3-O2
h00006,storage_delift,696,49,2,F3-O2
h00006,residual_strip,696,49,2,F3-O2
h00006,final_clean,663,49,2,F3-O2
h00007,raw_lift,1633,151,57,F3-O2
h00007,brightened_010_095,1014,45,9,F3-O2
h00007,verified_input,1014,45,9,F3-O2
h00007,pointer_opt,1003,45,9,F3-O2
h00007,standard_opt,885,45,9,F3-O2
h00007,storage_delift,885,45,9,F3-O2
h00007,residual_strip,885,45,9,F3-O2
h00007,final_clean,879,45,9,F3-O2
h00008,raw_lift,1244,114,39,F3-O2
h00008,brightened_010_095,937,44,6,F3-O2
h00008,verified_input,937,44,6,F3-O2
h00008,pointer_opt,922,44,6,F3-O2
h00008,standard_opt,820,44,6,F3-O2
h00008,storage_delift,820,44,6,F3-O2
h00008,residual_strip,820,44,6,F3-O2
h00008,final_clean,807,44,6,F3-O2
h00009,raw_lift,1361,151,58,F3-O2
h00009,brightened_010_095,281,46,1,F3-O2
h00009,verified_input,281,46,1,F3-O2
h00009,pointer_opt,281,46,1,F3-O2
h00009,standard_opt,280,46,1,F3-O2
h00009,storage_delift,280,46,1,F3-O2
h00009,residual_strip,280,46,1,F3-O2
h00009,final_clean,279,45,1,F3-O2
h00010,raw_lift,1513,128,44,F3-O2
h00010,brightened_010_095,1197,49,4,F3-O2
h00010,verified_input,1197,49,4,F3-O2
h00010,pointer_opt,1177,49,4,F3-O2
h00010,standard_opt,969,49,4,F3-O2
h00010,storage_delift,969,49,4,F3-O2
h00010,residual_strip,969,49,4,F3-O2
h00010,final_clean,958,49,4,F3-O2
h00011,raw_lift,1085,109,36,F3-O2
h00011,brightened_010_095,178,26,2,F3-O2
h00011,verified_input,178,26,2,F3-O2
h00011,pointer_opt,178,26,2,F3-O2
h00011,standard_opt,177,26,2,F3-O2
h00011,storage_delift,177,26,2,F3-O2
h00011,residual_strip,177,26,2,F3-O2
h00011,final_clean,176,25,2,F3-O2
h00012,raw_lift,1002,87,26,F3-O2
h00012,brightened_010_095,119,15,1,F3-O2
h00012,verified_input,119,15,1,F3-O2
h00012,pointer_opt,119,15,1,F3-O2
h00012,standard_opt,118,15,1,F3-O2
h00012,storage_delift,118,15,1,F3-O2
h00012,residual_strip,118,15,1,F3-O2
h00012,final_clean,117,14,1,F3-O2
h00013,raw_lift,1005,101,33,F3-O2
h00013,brightened_010_095,149,18,1,F3-O2
h00013,verified_input,149,18,1,F3-O2
h00013,pointer_opt,149,18,1,F3-O2
h00013,standard_opt,148,18,1,F3-O2
h00013,storage_delift,148,18,1,F3-O2
h00013,residual_strip,148,18,1,F3-O2
h00013,final_clean,147,17,1,F3-O2
h00014,raw_lift,1862,159,61,F3-O2
h00014,brightened_010_095,1322,48,6,F3-O2
h00014,verified_input,1322,48,6,F3-O2
