sample_id,category,treatment,status,failure_reason,llm_calls,input_tokens,output_tokens,total_runtime_seconds,compile_success_first,compile_success_final,iteration1_outcome,compiler_attempts,compile_repair_rounds,behavioral_repair_rounds,behavior_before_repair,behavior_after_repair,fuzz_total,fuzz_matches,fuzz_trajectory_matches_mismatches_inconclusive,max_tokens_responses,instructions_raw,instructions_clean,instruction_reduction,basic_blocks_raw,basic_blocks_clean,bb_reduction,conditional_branches_raw,conditional_branches_clean,branches_reduction,prepared_binary_status,native_contract_status,native_output_class,native_contract_violations
h00003,arrays_windows,B2,PASS,PASS,1,16471,336,10.736457824707031,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00003,arrays_windows,B3,PASS,PASS,1,13299,347,6.609327554702759,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00003,arrays_windows,F3-O1,PASS,PASS,1,21934,370,14.419612646102905,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,1288,230,0.8214285714285714,127,33,0.7401574803149606,46,1,0.9782608695652174,PASS,non_compliant,compat_runnable,2
h00003,arrays_windows,F3-O2,PASS,PASS,1,23985,415,15.562154293060303,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,1288,230,0.8214285714285714,127,33,0.7401574803149606,46,1,0.9782608695652174,PASS,non_compliant,compat_runnable,2
h00003,arrays_windows,F3-O3,PASS,PASS,1,21170,379,12.530636072158813,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,1288,230,0.8214285714285714,127,33,0.7401574803149606,46,1,0.9782608695652174,PASS,non_compliant,compat_runnable,2
h00004,parsing_state_machine,B0,PASS,PASS,1,16594,1634,22.092740779997257,True,True,FUZZ_1000/0/0,1,0,0,,,1000,1000,i1:1000/0/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00004,parsing_state_machine,B1,PASS,PASS,1,12158,1618,10.267087697982788,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00004,parsing_state_machine,B2,FAIL_BEHAVIORAL,FAIL_BEHAVIORAL,1,37210,390,38.60168147087097,True,True,FUZZ_0/1000/0,1,0,0,"matches=0, mismatches=1000","matches=0, mismatches=1000",1000,0,i1:0/1000/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00004,parsing_state_machine,B3,PASS,PASS,2,44675,857,34.75459384918213,True,True,FUZZ_834/166/0,2,0,1,"matches=834, mismatches=166","matches=1000, mismatches=0",1000,1000,i1:834/166/0;i2:1000/0/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00004,parsing_state_machine,F3-O1,PASS,PASS,1,54465,412,16.83578872680664,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,1478,981,0.33626522327469555,117,40,0.6581196581196581,37,4,0.8918918918918919,PASS,non_compliant,compat_runnable,16
