sample_id,flow_id,status,llm_calls,compiler_attempts,compile_success_first,compile_success_final,compile_repair_rounds,behavioral_repair_rounds,fuzz_total,fuzz_matches,input_tokens,output_tokens,total_runtime
h00001,F3,PASS,1,1,True,True,0,0,1000,1000,52060,349,34.551103353500366
h00002,F3,PASS,1,1,True,True,0,0,1000,1000,25582,427,18.621583700180054
h00003,F3,PASS,1,1,True,True,0,0,1000,1000,21170,379,12.530636072158813
h00004,F3,PASS,2,2,True,True,0,1,1000,1000,117027,947,39.70654821395874
h00005,F3,PASS,2,1,True,True,0,0,1000,1000,142643,2854,86.049325466156
h00006,F3,PASS,1,1,True,True,0,0,1000,1000,54011,435,29.615427255630493
h00007,F3,PASS,1,1,True,True,0,0,1000,1000,64020,405,34.72065186500549
h00008,F3,PASS,4,2,True,True,0,1,1000,1000,331863,5911,178.760924577713
h00009,F3,PASS,1,1,True,True,0,0,1000,1000,28651,314,17.190984964370728
h00010,F3,PASS,1,1,True,True,0,0,1000,1000,54074,553,19.157679080963135
h00011,F3,PASS,1,1,True,True,0,0,1000,1000,22643,404,14.982527017593384
h00012,F3,FAIL_BEHAVIORAL,5,3,True,True,0,3,1000,11,199006,6152,197.49975514411926
h00013,F3,PASS,1,1,True,True,0,0,1000,1000,19520,361,15.179943561553955
h00014,F3,PASS,1,1,True,True,0,0,1000,1000,58951,438,22.505286693572998
h00015,F3,PASS,1,1,True,True,0,0,1000,1000,23768,307,15.096245527267456
h00016,F3,PASS,2,2,True,True,0,1,1000,1000,73503,852,57.59531617164612
h00017,F3,PASS,1,1,True,True,0,0,1000,1000,48270,378,17.94981336593628
h00018,F3,PASS,2,2,True,True,0,1,1000,1000,139432,828,63.165188789367676
h00019,F3,PASS,2,2,True,True,0,1,1000,1000,84094,751,70.32704710960388
h00020,F3,PASS,3,2,True,True,0,1,1000,1000,225803,3276,118.0523407459259
h00021,F3,PASS,1,1,True,True,0,0,1000,1000,47956,456,20.761532068252563
h00022,F3,PASS,4,2,True,True,0,1,1000,1000,206729,5861,182.06071281433105
h00023,F3,PASS,1,1,True,True,0,0,1000,1000,27665,454,19.159153938293457
h00024,F3,PASS,2,1,True,True,0,0,1000,1000,42302,250,25.708019971847534
h00025,F3,PASS,2,2,True,True,0,1,1000,1000,115568,708,57.67107081413269
h00026,F3,PASS,2,2,True,True,0,1,1000,1000,147834,1189,87.30167174339294
h00027,F3,PASS,2,2,True,True,0,1,1000,1000,169706,1219,98.34355282783508
h00028,F3,FAIL_BEHAVIORAL,3,2,True,True,0,1,1000,998,239861,4021,190.17739748954773
h00029,F3,PASS,1,1,True,True,0,0,1000,1000,95650,624,30.472737073898315
h00030,F3,PASS,3,2,True,True,0,1,1000,1000,206571,3796,141.19551157951355
h00031,F3,PASS,2,2,True,True,0,1,1000,1000,169424,1139,86.68252444267273
h00032,F3,PASS,5,2,False,True,1,0,1000,1000,485054,8504,265.19670248031616
h00033,F3,PASS,1,1,True,True,0,0,1000,1000,64063,647,26.564449310302734
h00034,F3,PASS,2,1,True,True,0,0,1000,1000,224297,3186,125.10269021987915
h00035,F3,PASS,1,1,True,True,0,0,1000,1000,53406,497,18.30523109436035
h00036,F3,PASS,3,3,True,True,0,2,1000,1000,99259,854,95.84847116470337
h00037,F3,PASS,1,1,True,True,0,0,1000,1000,45663,370,27.366071462631226
h00038,F3,INCONCLUSIVE,0,0,False,False,0,0,0,0,0,0,0.0
h00039,F3,PASS,1,1,True,True,0,0,1000,1000,19373,327,13.081716299057007
h00040,F3,PASS,1,1,True,True,0,0,1000,1000,144472,1215,52.152217626571655
