sample_id,flow_id,status,llm_calls,compiler_attempts,compile_success_first,compile_success_final,compile_repair_rounds,behavioral_repair_rounds,fuzz_total,fuzz_matches,input_tokens,output_tokens,total_runtime
h00001,B1,PASS,2,1,False,True,0,0,1000,1000,27527,4027,21.03089165687561
h00002,B1,PASS,2,1,False,True,0,0,1000,1000,39969,5194,34.90125322341919
h00003,B1,PASS,2,2,False,True,1,0,1000,1000,31005,6573,20.07327938079834
h00004,B1,PASS,1,1,True,True,0,0,1000,1000,12158,1618,10.267087697982788
h00005,B1,PASS,2,1,False,True,0,0,1000,1000,32881,2551,27.356341123580933
h00006,B1,PASS,2,1,False,True,0,0,1000,1000,34863,1336,28.175889015197754
h00007,B1,PASS,2,1,False,True,0,0,1000,1000,37925,4825,28.419347047805786
h00008,B1,PASS,2,1,False,True,0,0,1000,1000,39242,3932,36.10907006263733
h00009,B1,PASS,2,1,False,True,0,0,1000,1000,38214,4869,34.63723921775818
h00010,B1,PASS,2,2,True,True,0,1,1000,1000,50827,5011,43.72601652145386
h00011,B1,PASS,2,1,False,True,0,0,1000,1000,35587,5829,30.65387988090515
h00012,B1,PASS,2,1,False,True,0,0,1000,1000,28219,2688,24.611263275146484
h00013,B1,PASS,2,1,False,True,0,0,1000,1000,27819,2210,23.9108145236969
h00014,B1,PASS,3,3,True,True,0,2,1000,1000,50975,9652,32.419638872146606
h00015,B1,PASS,2,1,False,True,0,0,1000,1000,35493,3521,32.63188099861145
h00016,B1,PASS,3,2,False,True,0,1,1000,1000,61654,4825,53.674702644348145
h00017,B1,PASS,2,1,False,True,0,0,1000,1000,34726,2999,29.667463064193726
h00018,B1,PASS,2,1,False,True,0,0,1000,1000,46458,4489,44.161614179611206
h00019,B1,PASS,2,1,False,True,0,0,1000,1000,40376,3609,35.33375668525696
h00020,B1,PASS,2,1,False,True,0,0,1000,1000,45882,6769,44.96000075340271
h00021,B1,PASS,1,1,True,True,0,0,1000,1000,16358,2038,14.856167316436768
h00022,B1,PASS,2,2,True,True,0,1,1000,1000,48536,1425,51.924150228500366
h00023,B1,PASS,1,1,True,True,0,0,1000,1000,17758,680,17.037216424942017
h00024,B1,PASS,2,2,False,True,1,0,1000,1000,29159,4800,20.735324144363403
h00025,B1,PASS,2,1,False,True,0,0,1000,1000,36616,3773,33.84324836730957
h00026,B1,PASS,2,1,False,True,0,0,1000,1000,54547,6536,57.02231192588806
h00027,B1,PASS,2,1,False,True,0,0,1000,1000,46081,5307,38.643149614334106
h00028,B1,INCONCLUSIVE,2,1,False,True,0,0,1000,998,54271,5503,49.624149322509766
h00029,B1,PASS,1,1,True,True,0,0,1000,1000,19144,627,14.66653037071228
h00030,B1,PASS,2,2,False,True,1,0,1000,1000,50583,14139,32.28751277923584
h00031,B1,PASS,2,1,False,True,0,0,1000,1000,36793,5849,31.80475878715515
h00032,B1,PASS,2,1,False,True,0,0,1000,1000,38587,4143,31.794901371002197
h00033,B1,PASS,2,1,False,True,0,0,1000,1000,40482,4167,37.95638298988342
h00034,B1,PASS,2,2,False,True,1,0,1000,1000,40993,9805,28.507548809051514
h00035,B1,PASS,2,2,True,True,0,1,1000,1000,51984,7950,41.06905746459961
h00036,B1,PASS,2,1,False,True,0,0,1000,1000,28283,1950,25.353148937225342
h00037,B1,PASS,1,1,True,True,0,0,1000,1000,16599,1294,17.216174364089966
h00038,B1,PASS,1,1,True,True,0,0,1000,1000,21478,4328,18.873780727386475
h00039,B1,PASS,2,1,False,True,0,0,1000,1000,45585,4959,39.78465175628662
h00040,B1,PASS,2,1,False,True,0,0,1000,1000,38782,5484,30.201103687286377
